項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,754,-,-,105,-,115,-,107,-,108,-,107,-,105,-,107,-
0,0,0,0,0,世帯人員,2.98,-,-,2.55,-,2.87,-,2.83,-,2.96,-,3.14,-,3.33,-,3.16,-
0,0,0,0,0,有業人員,1.29,-,-,1.1,-,1.13,-,1.1,-,1.35,-,1.44,-,1.52,-,1.39,-
0,0,0,0,0,世帯主平均年齢,59.2,-,-,62.8,-,62.4,-,60,-,59.7,-,56.8,-,55.7,-,57,-
2,2,0,0,0,生計支出,321996,-,-0.2,106329,-,171193,-,213046,-,259593,-,321474,-,406376,-,773804,-
2,3,0,0,0,消費支出,318758,100,-1.2,106329,100,171193,100,213046,100,259593,100,321474,100,406376,100,751208,100
2,4,1,0,0,食料,81995,25.7,4,49165,46.2,64439,37.6,73295,34.4,79889,30.8,87759,27.3,102933,25.3,116255,15.5
2,5,1,1,0,穀類,6614,2.1,3.2,4879,4.6,6540,3.8,6156,2.9,6727,2.6,7558,2.4,7153,1.8,7281,1
2,6,1,1,1,米類,1964,0.6,-7.2,1828,1.7,2260,1.3,1900,0.9,1981,0.8,2307,0.7,1819,0.4,1654,0.2
2,6,1,1,2,パン,2874,0.9,7.1,1883,1.8,2572,1.5,2688,1.3,2964,1.1,3195,1,3303,0.8,3511,0.5
2,6,1,1,3,めん類,1352,0.4,10.6,916,0.9,1317,0.8,1213,0.6,1436,0.6,1590,0.5,1560,0.4,1429,0.2
2,6,1,1,4,他の穀類,424,0.1,8.4,253,0.2,391,0.2,354,0.2,346,0.1,466,0.1,471,0.1,686,0.1
2,5,1,2,0,魚介類,6647,2.1,9.9,4550,4.3,5357,3.1,6636,3.1,7412,2.9,7012,2.2,8334,2.1,7215,1
2,6,1,2,1,生鮮魚介,4111,1.3,14.8,2827,2.7,3272,1.9,3772,1.8,4951,1.9,4291,1.3,5325,1.3,4338,0.6
2,6,1,2,2,塩干魚介,1111,0.3,3.1,738,0.7,902,0.5,1277,0.6,1077,0.4,1257,0.4,1373,0.3,1147,0.2
2,6,1,2,3,魚肉練製品,568,0.2,-3.7,405,0.4,505,0.3,652,0.3,603,0.2,509,0.2,630,0.2,669,0.1
2,6,1,2,4,他の魚介加工品,857,0.3,6.9,580,0.5,678,0.4,935,0.4,781,0.3,956,0.3,1006,0.2,1062,0.1
2,5,1,3,0,肉類,7748,2.4,12.2,5240,4.9,6258,3.7,6637,3.1,7237,2.8,9326,2.9,9136,2.2,10386,1.4
2,6,1,3,1,生鮮肉,6211,1.9,14,4070,3.8,5033,2.9,5207,2.4,5838,2.2,7583,2.4,7373,1.8,8360,1.1
2,6,1,3,2,加工肉,1537,0.5,5.3,1170,1.1,1224,0.7,1431,0.7,1398,0.5,1743,0.5,1763,0.4,2026,0.3
2,5,1,4,0,乳卵類,4127,1.3,7.1,2750,2.6,3403,2,3840,1.8,4325,1.7,4723,1.5,4686,1.2,5159,0.7
2,6,1,4,1,牛乳,1413,0.4,-0.7,983,0.9,1286,0.8,1424,0.7,1487,0.6,1572,0.5,1491,0.4,1644,0.2
2,6,1,4,2,乳製品,1922,0.6,10.5,1168,1.1,1442,0.8,1714,0.8,2025,0.8,2293,0.7,2246,0.6,2559,0.3
2,6,1,4,3,卵,793,0.2,14.8,598,0.6,675,0.4,701,0.3,813,0.3,858,0.3,950,0.2,957,0.1
2,5,1,5,0,野菜・海藻,10697,3.4,6.8,8100,7.6,9072,5.3,10232,4.8,10641,4.1,11677,3.6,12369,3,12771,1.7
2,6,1,5,1,生鮮野菜,7493,2.4,7,5803,5.5,6293,3.7,7153,3.4,7520,2.9,8137,2.5,8781,2.2,8755,1.2
2,6,1,5,2,乾物・海藻,749,0.2,10.8,503,0.5,647,0.4,660,0.3,717,0.3,897,0.3,807,0.2,1015,0.1
2,6,1,5,3,大豆加工品,1201,0.4,4.9,967,0.9,971,0.6,1173,0.6,1163,0.4,1340,0.4,1485,0.4,1305,0.2
2,6,1,5,4,他の野菜・海藻加工品,1253,0.4,4.9,826,0.8,1161,0.7,1246,0.6,1242,0.5,1303,0.4,1296,0.3,1696,0.2
2,5,1,6,0,果物,3369,1.1,4.7,2552,2.4,2827,1.7,2891,1.4,3640,1.4,3402,1.1,3743,0.9,4523,0.6
2,6,1,6,1,生鮮果物,3147,1,4.1,2370,2.2,2664,1.6,2714,1.3,3475,1.3,3175,1,3457,0.9,4173,0.6
2,6,1,6,2,果物加工品,222,0.1,14.4,181,0.2,163,0.1,177,0.1,165,0.1,227,0.1,286,0.1,350,0
2,5,1,7,0,油脂・調味料,3711,1.2,6.8,2387,2.2,3281,1.9,3107,1.5,3845,1.5,4494,1.4,4263,1,4600,0.6
2,6,1,7,1,油脂,347,0.1,-1.7,237,0.2,291,0.2,239,0.1,330,0.1,443,0.1,425,0.1,464,0.1
2,6,1,7,2,調味料,3364,1.1,7.8,2150,2,2989,1.7,2868,1.3,3514,1.4,4051,1.3,3838,0.9,4136,0.6
2,5,1,8,0,菓子類,5652,1.8,10.1,3198,3,4445,2.6,5881,2.8,5530,2.1,6498,2,6945,1.7,7050,0.9
2,5,1,9,0,調理食品,10254,3.2,5,6017,5.7,8244,4.8,9509,4.5,11723,4.5,9871,3.1,13013,3.2,13374,1.8
2,6,1,9,1,主食的調理食品,4315,1.4,-1.2,2465,2.3,3306,1.9,4328,2,4800,1.8,4311,1.3,5320,1.3,5665,0.8
2,6,1,9,2,他の調理食品,5939,1.9,10,3553,3.3,4938,2.9,5181,2.4,6922,2.7,5560,1.7,7693,1.9,7709,1
2,5,1,10,0,飲料,4465,1.4,-0.4,2274,2.1,3549,2.1,4393,2.1,4195,1.6,4939,1.5,6393,1.6,5500,0.7
2,6,1,10,1,茶類,1118,0.4,4.9,670,0.6,793,0.5,1261,0.6,1066,0.4,1361,0.4,1437,0.4,1237,0.2
2,6,1,10,2,コーヒー・ココア,892,0.3,-5.9,492,0.5,763,0.4,913,0.4,934,0.4,960,0.3,1097,0.3,1082,0.1
2,6,1,10,3,他の飲料,2455,0.8,-0.5,1112,1,1992,1.2,2219,1,2195,0.8,2617,0.8,3859,0.9,3181,0.4
2,5,1,11,0,酒類,3396,1.1,6.7,1428,1.3,2775,1.6,2584,1.2,3413,1.3,3309,1,5118,1.3,5128,0.7
2,5,1,12,0,外食,15316,4.8,-6.2,5791,5.4,8689,5.1,11430,5.4,11202,4.3,14950,4.7,21779,5.4,33268,4.4
2,6,1,12,1,一般外食,14349,4.5,-7.7,5513,5.2,7761,4.5,10339,4.9,10419,4,13652,4.2,20592,5.1,32067,4.3
2,6,1,12,2,学校給食,967,0.3,24.3,278,0.3,928,0.5,1091,0.5,783,0.3,1298,0.4,1187,0.3,1201,0.2
2,4,2,0,0,住居,29943,9.4,-6,1589,1.5,7567,4.4,14515,6.8,17043,6.6,22219,6.9,32351,8,113949,15.2
2,5,2,1,0,家賃地代,15458,4.8,-16.4,1226,1.2,5944,3.5,12516,5.9,16101,6.2,16918,5.3,26805,6.6,28595,3.8
2,5,2,2,0,設備修繕・維持,14485,4.5,8.3,363,0.3,1623,0.9,1999,0.9,941,0.4,5300,1.6,5546,1.4,85355,11.4
2,6,2,2,1,設備材料,4283,1.3,-14.5,238,0.2,142,0.1,322,0.2,65,0,2308,0.7,1588,0.4,25242,3.4
2,6,2,2,2,工事その他のサービス,10202,3.2,21.9,125,0.1,1481,0.9,1678,0.8,876,0.3,2993,0.9,3958,1,60113,8
2,4,3,0,0,光熱・水道,20855,6.5,5.5,14275,13.4,18034,10.5,19450,9.1,21296,8.2,24000,7.5,25657,6.3,23244,3.1
2,5,3,1,0,電気代,10140,3.2,-2.5,7221,6.8,8328,4.9,9175,4.3,10131,3.9,11318,3.5,13025,3.2,11768,1.6
2,5,3,2,0,ガス代,4516,1.4,12.2,3430,3.2,4215,2.5,4593,2.2,4584,1.8,5405,1.7,4426,1.1,4956,0.7
2,5,3,3,0,他の光熱,98,0,6.5,21,0,112,0.1,130,0.1,263,0.1,20,0,131,0,5,0
2,5,3,4,0,上下水道料,6101,1.9,16.3,3602,3.4,5378,3.1,5553,2.6,6318,2.4,7257,2.3,8075,2,6515,0.9
2,4,4,0,0,家具・家事用品,10947,3.4,-9.2,2976,2.8,6012,3.5,6284,2.9,9175,3.5,10503,3.3,14863,3.7,26736,3.6
2,5,4,1,0,家庭用耐久財,2820,0.9,-24.7,57,0.1,983,0.6,990,0.5,1500,0.6,1662,0.5,4033,1,10474,1.4
2,6,4,1,1,家事用耐久財,1576,0.5,-26,57,0.1,803,0.5,734,0.3,1111,0.4,1207,0.4,2096,0.5,5003,0.7
2,6,4,1,2,冷暖房用器具,229,0.1,-73.9,-,-,134,0.1,162,0.1,-,-,211,0.1,537,0.1,554,0.1
2,6,4,1,3,一般家具,1015,0.3,38.1,-,-,46,0,94,0,388,0.1,244,0.1,1400,0.3,4917,0.7
2,5,4,2,0,室内装備・装飾品,562,0.2,-18.4,101,0.1,361,0.2,517,0.2,409,0.2,1276,0.4,543,0.1,728,0.1
2,5,4,3,0,寝具類,1212,0.4,-35.1,232,0.2,783,0.5,462,0.2,1691,0.7,684,0.2,2930,0.7,1696,0.2
2,5,4,4,0,家事雑貨,2327,0.7,7.1,1020,1,1604,0.9,1770,0.8,2069,0.8,2362,0.7,2935,0.7,4520,0.6
2,5,4,5,0,家事用消耗品,2655,0.8,3.2,1479,1.4,1968,1.1,2159,1,2877,1.1,3268,1,3144,0.8,3684,0.5
2,5,4,6,0,家事サービス,1370,0.4,36.2,86,0.1,313,0.2,387,0.2,629,0.2,1250,0.4,1277,0.3,5635,0.8
2,4,5,0,0,被服及び履物,15175,4.8,2,2938,2.8,7321,4.3,8189,3.8,10765,4.1,18728,5.8,20995,5.2,37185,5
2,5,5,1,0,和服,541,0.2,...,-,-,-,-,-,-,-,-,-,-,-,-,3774,0.5
2,5,5,2,0,洋服,5774,1.8,0.8,1134,1.1,2743,1.6,2974,1.4,3509,1.4,8557,2.7,7729,1.9,13737,1.8
2,6,5,2,1,男子用洋服,1861,0.6,-3.1,232,0.2,774,0.5,1062,0.5,375,0.1,3123,1,971,0.2,6475,0.9
2,6,5,2,2,婦人用洋服,3271,1,4.5,747,0.7,1668,1,1343,0.6,2674,1,4534,1.4,5769,1.4,6147,0.8
2,6,5,2,3,子供用洋服,642,0.2,-5,155,0.1,302,0.2,568,0.3,459,0.2,899,0.3,989,0.2,1115,0.1
2,5,5,3,0,シャツ・セーター類,3169,1,4.8,574,0.5,1330,0.8,1552,0.7,2730,1.1,3737,1.2,5058,1.2,7180,1
2,6,5,3,1,男子用シャツ・セーター類,1071,0.3,-3.9,207,0.2,361,0.2,353,0.2,957,0.4,1031,0.3,1663,0.4,2918,0.4
2,6,5,3,2,婦人用シャツ・セーター類,1878,0.6,6.7,342,0.3,857,0.5,1178,0.6,1564,0.6,2444,0.8,3096,0.8,3655,0.5
2,6,5,3,3,子供用シャツ・セーター類,219,0.1,45,25,0,111,0.1,21,0,208,0.1,261,0.1,300,0.1,608,0.1
