項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,413,-,709,-,974,-,1016,-,789,-,806,-,1166,-,4126,-,1808,-
0,0,0,0,0,調査世帯数,755,-,33,-,51,-,75,-,73,-,59,-,59,-,87,-,318,-,139,-
0,0,0,0,0,世帯人員,2.98,-,3.23,-,3.64,-,3.57,-,3.49,-,3.43,-,3.16,-,2.96,-,2.47,-,2.41,-
0,0,0,0,0,有業人員,1.3,-,1.49,-,1.37,-,1.39,-,1.47,-,1.81,-,1.72,-,1.87,-,0.86,-,0.66,-
0,0,0,0,0,世帯主平均年齢,59.3,-,31.7,-,37.1,-,42.1,-,46.9,-,51.7,-,56.9,-,62.3,-,74.1,-,80.1,-
2,2,0,0,0,生計支出,305931,-,285041,-,325401,-,312204,-,376075,-,346124,-,326007,-,310218,-,273113,-,255718,-
2,3,0,0,0,消費支出,305922,100,285041,100,325401,100,312204,100,376075,100,346124,100,326007,100,310218,100,273091,100,255718,100
2,4,1,0,0,食料,82147,26.9,62584,22,78985,24.3,82349,26.4,94463,25.1,93775,27.1,83489,25.6,88290,28.5,77348,28.3,71957,28.1
2,5,1,1,0,穀類,6533,2.1,5179,1.8,6041,1.9,7174,2.3,7355,2,7192,2.1,6439,2,6604,2.1,6272,2.3,6627,2.6
2,6,1,1,1,米類,1826,0.6,1390,0.5,1240,0.4,1816,0.6,1703,0.5,1824,0.5,1622,0.5,1881,0.6,2027,0.7,2739,1.1
2,6,1,1,2,パン,2883,0.9,2658,0.9,2808,0.9,3616,1.2,3829,1,3115,0.9,2918,0.9,2785,0.9,2488,0.9,2228,0.9
2,6,1,1,3,めん類,1322,0.4,929,0.3,1303,0.4,1267,0.4,1401,0.4,1741,0.5,1456,0.4,1384,0.4,1234,0.5,1157,0.5
