項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,755,-,-,111,-,104,-,107,-,111,-,107,-,108,-,107,-
0,0,0,0,0,世帯人員,2.97,-,-,2.86,-,2.64,-,2.85,-,2.97,-,3.2,-,3.06,-,3.24,-
0,0,0,0,0,有業人員,1.3,-,-,1.19,-,1.11,-,1.24,-,1.24,-,1.46,-,1.39,-,1.48,-
0,0,0,0,0,世帯主平均年齢,58.8,-,-,62.6,-,61.1,-,58.4,-,57.6,-,58.4,-,56.3,-,57.4,-
2,2,0,0,0,生計支出,330030,-,-10.5,113218,-,174751,-,215114,-,253988,-,303109,-,390901,-,856725,-
2,3,0,0,0,消費支出,320358,100,-11,113218,100,174751,100,215114,100,253988,100,303109,100,390901,100,789225,100
2,4,1,0,0,食料,79193,24.7,-3.2,52160,46.1,63481,36.3,69575,32.3,73444,28.9,90144,29.7,92072,23.6,113225,14.3
2,5,1,1,0,穀類,6322,2,-4.7,5257,4.6,5778,3.3,6074,2.8,5998,2.4,6617,2.2,7308,1.9,7217,0.9
2,6,1,1,1,米類,1897,0.6,-17.2,1712,1.5,2012,1.2,1752,0.8,1816,0.7,1714,0.6,2229,0.6,2042,0.3
2,6,1,1,2,パン,2755,0.9,4.2,2182,1.9,2184,1.2,2650,1.2,2458,1,3086,1,3307,0.8,3415,0.4
