項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,739,-,-,105,-,105,-,105,-,106,-,106,-,105,-,107,-
0,0,0,0,0,世帯人員,2.98,-,-,2.53,-,2.65,-,2.99,-,2.86,-,3.14,-,3.32,-,3.37,-
0,0,0,0,0,有業人員,1.3,-,-,1.12,-,1.01,-,1.36,-,1.28,-,1.33,-,1.5,-,1.51,-
0,0,0,0,0,世帯主平均年齢,57.9,-,-,60.4,-,60.9,-,59.4,-,57.9,-,58,-,53.9,-,55.1,-
2,2,0,0,0,生計支出,316587,-,-12.7,112840,-,173757,-,220757,-,277005,-,334761,-,413283,-,680256,-
2,3,0,0,0,消費支出,315490,100,-1.4,112840,100,173757,100,220757,100,277005,100,334761,100,413283,100,672636,100
2,4,1,0,0,食料,74372,23.6,1.3,42686,37.8,60004,34.5,61593,27.9,69537,25.1,81648,24.4,90954,22,113778,16.9
2,5,1,1,0,穀類,5960,1.9,0.7,4049,3.6,5220,3,5484,2.5,5544,2,6852,2,7636,1.8,6928,1
2,6,1,1,1,米類,1932,0.6,3.4,1109,1,1650,0.9,2073,0.9,1828,0.7,2421,0.7,2880,0.7,1567,0.2
2,6,1,1,2,パン,2429,0.8,0.3,1629,1.4,2079,1.2,2003,0.9,2337,0.8,2662,0.8,2850,0.7,3434,0.5
2,6,1,1,3,めん類,1170,0.4,-5.9,1036,0.9,1019,0.6,995,0.5,1095,0.4,1303,0.4,1424,0.3,1314,0.2
2,6,1,1,4,他の穀類,429,0.1,11.7,274,0.2,471,0.3,413,0.2,285,0.1,466,0.1,481,0.1,613,0.1
2,5,1,2,0,魚介類,5720,1.8,-1.2,3712,3.3,5836,3.4,5641,2.6,5276,1.9,5912,1.8,6658,1.6,6991,1
2,6,1,2,1,生鮮魚介,3447,1.1,-1.1,1990,1.8,3688,2.1,3393,1.5,3257,1.2,3515,1.1,4045,1,4233,0.6
2,6,1,2,2,塩干魚介,1036,0.3,0,706,0.6,1036,0.6,1050,0.5,900,0.3,1102,0.3,1340,0.3,1119,0.2
2,6,1,2,3,魚肉練製品,502,0.2,-9.2,412,0.4,479,0.3,417,0.2,489,0.2,518,0.2,640,0.2,560,0.1
2,6,1,2,4,他の魚介加工品,734,0.2,1.9,604,0.5,634,0.4,781,0.4,630,0.2,776,0.2,633,0.2,1079,0.2
2,5,1,3,0,肉類,6629,2.1,8.4,3630,3.2,5817,3.3,5154,2.3,6023,2.2,7850,2.3,8544,2.1,9352,1.4
2,6,1,3,1,生鮮肉,5393,1.7,9.3,2905,2.6,4760,2.7,4032,1.8,4854,1.8,6383,1.9,6989,1.7,7802,1.2
2,6,1,3,2,加工肉,1236,0.4,4.8,725,0.6,1057,0.6,1122,0.5,1169,0.4,1467,0.4,1555,0.4,1550,0.2
2,5,1,4,0,乳卵類,3592,1.1,4.5,2573,2.3,2971,1.7,3298,1.5,3017,1.1,4251,1.3,3936,1,5086,0.8
2,6,1,4,1,牛乳,1216,0.4,3.5,930,0.8,913,0.5,1091,0.5,1012,0.4,1402,0.4,1275,0.3,1883,0.3
2,6,1,4,2,乳製品,1679,0.5,3.5,1109,1,1478,0.9,1566,0.7,1391,0.5,2018,0.6,1830,0.4,2357,0.4
2,6,1,4,3,卵,697,0.2,9.1,535,0.5,580,0.3,640,0.3,614,0.2,831,0.2,832,0.2,846,0.1
2,5,1,5,0,野菜・海藻,9263,2.9,0.4,6579,5.8,8220,4.7,8242,3.7,8424,3,10831,3.2,10323,2.5,12194,1.8
2,6,1,5,1,生鮮野菜,6356,2,-0.2,4269,3.8,5531,3.2,5516,2.5,5912,2.1,7298,2.2,7244,1.8,8697,1.3
2,6,1,5,2,乾物・海藻,627,0.2,-0.6,379,0.3,569,0.3,686,0.3,526,0.2,748,0.2,740,0.2,742,0.1
2,6,1,5,3,大豆加工品,1099,0.3,4,845,0.7,1096,0.6,995,0.5,970,0.4,1223,0.4,1228,0.3,1333,0.2
2,6,1,5,4,他の野菜・海藻加工品,1182,0.4,0.6,1087,1,1024,0.6,1046,0.5,1016,0.4,1562,0.5,1111,0.3,1421,0.2
2,5,1,6,0,果物,2962,0.9,1.8,2088,1.9,2515,1.4,2707,1.2,2343,0.8,3629,1.1,3051,0.7,4385,0.7
2,6,1,6,1,生鮮果物,2689,0.9,1.5,1940,1.7,2344,1.3,2426,1.1,2129,0.8,3366,1,2751,0.7,3858,0.6
2,6,1,6,2,果物加工品,272,0.1,4.2,148,0.1,171,0.1,281,0.1,215,0.1,263,0.1,300,0.1,527,0.1
2,5,1,7,0,油脂・調味料,3149,1,1.9,1942,1.7,2908,1.7,2789,1.3,2670,1,3488,1,3638,0.9,4594,0.7
2,6,1,7,1,油脂,298,0.1,-4.2,178,0.2,282,0.2,207,0.1,260,0.1,400,0.1,392,0.1,369,0.1
2,6,1,7,2,調味料,2850,0.9,2.5,1764,1.6,2626,1.5,2582,1.2,2410,0.9,3088,0.9,3246,0.8,4224,0.6
2,5,1,8,0,菓子類,4773,1.5,-6.4,3057,2.7,3871,2.2,4127,1.9,4456,1.6,5013,1.5,5822,1.4,7043,1
2,5,1,9,0,調理食品,8798,2.8,-3.5,6504,5.8,8022,4.6,7328,3.3,8415,3,8835,2.6,10037,2.4,12411,1.8
2,6,1,9,1,主食的調理食品,3940,1.2,-4.9,3100,2.7,3494,2,3051,1.4,4027,1.5,3827,1.1,4569,1.1,5492,0.8
2,6,1,9,2,他の調理食品,4859,1.5,-2.2,3404,3,4528,2.6,4277,1.9,4388,1.6,5008,1.5,5468,1.3,6919,1
2,5,1,10,0,飲料,3666,1.2,-1.1,2147,1.9,2950,1.7,3246,1.5,3232,1.2,3626,1.1,5541,1.3,4916,0.7
2,6,1,10,1,茶類,978,0.3,-4.2,587,0.5,832,0.5,952,0.4,982,0.4,1140,0.3,1150,0.3,1200,0.2
2,6,1,10,2,コーヒー・ココア,818,0.3,12.1,393,0.3,581,0.3,705,0.3,807,0.3,834,0.2,1291,0.3,1117,0.2
2,6,1,10,3,他の飲料,1870,0.6,-4.2,1167,1,1537,0.9,1589,0.7,1444,0.5,1652,0.5,3100,0.8,2599,0.4
2,5,1,11,0,酒類,3105,1,-4.7,1393,1.2,2744,1.6,2727,1.2,3060,1.1,3616,1.1,3438,0.8,4733,0.7
2,5,1,12,0,外食,16755,5.3,6.2,5011,4.4,8929,5.1,10849,4.9,17076,6.2,17745,5.3,22330,5.4,35147,5.2
2,6,1,12,1,一般外食,16009,5.1,7.1,4802,4.3,8694,5,10571,4.8,16087,5.8,16548,4.9,21119,5.1,34051,5.1
2,6,1,12,2,学校給食,746,0.2,-9.8,209,0.2,236,0.1,278,0.1,989,0.4,1197,0.4,1211,0.3,1095,0.2
2,4,2,0,0,住居,23528,7.5,-0.8,5002,4.4,9698,5.6,11945,5.4,21478,7.8,28922,8.6,27070,6.5,60180,8.9
2,5,2,1,0,家賃地代,15792,5,-5.3,4081,3.6,9090,5.2,10593,4.8,19340,7,23357,7,22045,5.3,21904,3.3
2,5,2,2,0,設備修繕・維持,7736,2.5,9.8,921,0.8,608,0.3,1353,0.6,2138,0.8,5566,1.7,5025,1.2,38276,5.7
2,6,2,2,1,設備材料,1548,0.5,17.6,298,0.3,239,0.1,111,0.1,179,0.1,895,0.3,2681,0.6,6399,1
2,6,2,2,2,工事その他のサービス,6188,2,8,622,0.6,369,0.2,1242,0.6,1960,0.7,4671,1.4,2344,0.6,31877,4.7
2,4,3,0,0,光熱・水道,28302,9,-4.3,18688,16.6,24925,14.3,28256,12.8,26009,9.4,32476,9.7,32211,7.8,35482,5.3
2,5,3,1,0,電気代,12823,4.1,-1.5,8788,7.8,12185,7,12348,5.6,11968,4.3,14567,4.4,13885,3.4,15982,2.4
2,5,3,2,0,ガス代,9505,3,-5.8,6319,5.6,7871,4.5,9654,4.4,9220,3.3,10575,3.2,10859,2.6,12014,1.8
2,5,3,3,0,他の光熱,1136,0.4,11.6,778,0.7,1253,0.7,838,0.4,1050,0.4,1195,0.4,1393,0.3,1441,0.2
2,5,3,4,0,上下水道料,4838,1.5,-11.2,2803,2.5,3615,2.1,5416,2.5,3771,1.4,6140,1.8,6074,1.5,6045,0.9
2,4,4,0,0,家具・家事用品,10722,3.4,16.1,2589,2.3,5519,3.2,5767,2.6,10529,3.8,13033,3.9,16166,3.9,21331,3.2
2,5,4,1,0,家庭用耐久財,4454,1.4,61.5,116,0.1,809,0.5,1151,0.5,5474,2,4831,1.4,7110,1.7,11601,1.7
2,6,4,1,1,家事用耐久財,2541,0.8,68.8,71,0.1,408,0.2,756,0.3,4161,1.5,834,0.2,3079,0.7,8403,1.2
2,6,4,1,2,冷暖房用器具,791,0.3,-3.8,45,0,330,0.2,188,0.1,142,0.1,2959,0.9,327,0.1,1531,0.2
2,6,4,1,3,一般家具,1123,0.4,160.6,-,-,72,0,207,0.1,1170,0.4,1038,0.3,3704,0.9,1667,0.2
2,5,4,2,0,室内装備・装飾品,500,0.2,-45.5,275,0.2,192,0.1,291,0.1,355,0.1,790,0.2,925,0.2,670,0.1
2,5,4,3,0,寝具類,819,0.3,-23.8,136,0.1,584,0.3,263,0.1,390,0.1,1733,0.5,1694,0.4,931,0.1
2,5,4,4,0,家事雑貨,2155,0.7,12.1,724,0.6,1478,0.9,1645,0.7,1884,0.7,2286,0.7,3238,0.8,3818,0.6
2,5,4,5,0,家事用消耗品,2168,0.7,7.6,1239,1.1,1823,1,1779,0.8,1910,0.7,2545,0.8,2695,0.7,3174,0.5
2,5,4,6,0,家事サービス,626,0.2,15.3,101,0.1,633,0.4,638,0.3,516,0.2,849,0.3,503,0.1,1138,0.2
2,4,5,0,0,被服及び履物,17410,5.5,3.7,3916,3.5,6053,3.5,10531,4.8,14421,5.2,17475,5.2,23309,5.6,45901,6.8
2,5,5,1,0,和服,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,5,5,2,0,洋服,8292,2.6,16.5,1333,1.2,1654,1,4910,2.2,7640,2.8,6930,2.1,10498,2.5,24919,3.7
2,6,5,2,1,男子用洋服,2469,0.8,28.3,492,0.4,139,0.1,1154,0.5,1735,0.6,2407,0.7,3962,1,7352,1.1
2,6,5,2,2,婦人用洋服,5174,1.6,13.7,761,0.7,1264,0.7,3236,1.5,5457,2,3994,1.2,5749,1.4,15648,2.3
2,6,5,2,3,子供用洋服,649,0.2,1.4,79,0.1,251,0.1,520,0.2,448,0.2,529,0.2,787,0.2,1919,0.3
2,5,5,3,0,シャツ・セーター類,3116,1,-3.7,881,0.8,1296,0.7,2734,1.2,1498,0.5,4303,1.3,4562,1.1,6516,1
2,6,5,3,1,男子用シャツ・セーター類,1043,0.3,3.4,284,0.3,206,0.1,489,0.2,291,0.1,1316,0.4,2190,0.5,2520,0.4
2,6,5,3,2,婦人用シャツ・セーター類,1928,0.6,-4.1,583,0.5,1009,0.6,2183,1,1102,0.4,2674,0.8,2248,0.5,3687,0.5
2,6,5,3,3,子供用シャツ・セーター類,145,0,-33.5,15,0,81,0,62,0,106,0,313,0.1,123,0,310,0
2,5,5,4,0,下着類,1121,0.4,0.3,407,0.4,928,0.5,762,0.3,987,0.4,1438,0.4,1510,0.4,1810,0.3
2,6,5,4,1,男子用下着類,327,0.1,0.9,142,0.1,358,0.2,201,0.1,211,0.1,406,0.1,443,0.1,523,0.1
