項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,741,-,-,103,-,110,-,105,-,109,-,106,-,102,-,106,-
0,0,0,0,0,世帯人員,2.98,-,-,2.73,-,2.7,-,2.81,-,2.99,-,3.18,-,3.26,-,3.2,-
0,0,0,0,0,有業人員,1.29,-,-,1.18,-,1.12,-,1.17,-,1.22,-,1.43,-,1.52,-,1.4,-
0,0,0,0,0,世帯主平均年齢,59.2,-,-,61.3,-,62.6,-,59.9,-,59,-,58.9,-,55.8,-,56.7,-
2,2,0,0,0,生計支出,379308,-,-3.7,126926,-,204874,-,256291,-,311059,-,384940,-,495643,-,870671,-
2,3,0,0,0,消費支出,379308,100,5.2,126926,100,204874,100,256291,100,311059,100,384940,100,495643,100,870671,100
2,4,1,0,0,食料,102250,27,6.7,58468,46.1,73425,35.8,83140,32.4,102681,33,105759,27.5,130215,26.3,161460,18.5
2,5,1,1,0,穀類,7710,2,1.4,5115,4,6675,3.3,8096,3.2,8890,2.9,7641,2,8195,1.7,9326,1.1
2,6,1,1,1,米類,1882,0.5,-17.2,1388,1.1,1724,0.8,2108,0.8,2850,0.9,1773,0.5,1731,0.3,1596,0.2
2,6,1,1,2,パン,2912,0.8,12.7,1755,1.4,2420,1.2,2974,1.2,3106,1,2708,0.7,3263,0.7,4138,0.5
2,6,1,1,3,めん類,1608,0.4,12.4,1058,0.8,1258,0.6,1819,0.7,1741,0.6,1742,0.5,1669,0.3,1962,0.2
2,6,1,1,4,他の穀類,1308,0.3,-0.5,913,0.7,1273,0.6,1195,0.5,1192,0.4,1418,0.4,1533,0.3,1631,0.2
2,5,1,2,0,魚介類,10743,2.8,9.3,6602,5.2,9064,4.4,8973,3.5,11717,3.8,11632,3,12813,2.6,14342,1.6
2,6,1,2,1,生鮮魚介,5842,1.5,12.7,3361,2.6,4615,2.3,4855,1.9,6483,2.1,6513,1.7,6926,1.4,8105,0.9
2,6,1,2,2,塩干魚介,1671,0.4,3.1,1034,0.8,1442,0.7,1282,0.5,1797,0.6,1785,0.5,2108,0.4,2242,0.3
2,6,1,2,3,魚肉練製品,1632,0.4,12.5,1291,1,1655,0.8,1492,0.6,1778,0.6,1695,0.4,1569,0.3,1937,0.2
2,6,1,2,4,他の魚介加工品,1598,0.4,1.4,915,0.7,1351,0.7,1344,0.5,1659,0.5,1639,0.4,2210,0.4,2058,0.2
2,5,1,3,0,肉類,9200,2.4,9.8,6442,5.1,7040,3.4,7751,3,9454,3,10571,2.7,10439,2.1,12670,1.5
2,6,1,3,1,生鮮肉,7523,2,10.1,5248,4.1,5677,2.8,6437,2.5,7646,2.5,8727,2.3,8426,1.7,10472,1.2
2,6,1,3,2,加工肉,1677,0.4,8.3,1194,0.9,1363,0.7,1314,0.5,1809,0.6,1844,0.5,2012,0.4,2198,0.3
2,5,1,4,0,乳卵類,4148,1.1,3.5,2659,2.1,3200,1.6,4008,1.6,4236,1.4,4432,1.2,5034,1,5455,0.6
2,6,1,4,1,牛乳,1299,0.3,-2.5,855,0.7,1123,0.5,1362,0.5,1300,0.4,1396,0.4,1507,0.3,1548,0.2
2,6,1,4,2,乳製品,1999,0.5,5.4,1167,0.9,1375,0.7,1844,0.7,2158,0.7,2053,0.5,2599,0.5,2791,0.3
2,6,1,4,3,卵,849,0.2,9.1,638,0.5,702,0.3,801,0.3,778,0.3,983,0.3,927,0.2,1115,0.1
2,5,1,5,0,野菜・海藻,11519,3,3.2,8383,6.6,9604,4.7,9733,3.8,11261,3.6,13018,3.4,13460,2.7,15139,1.7
2,6,1,5,1,生鮮野菜,7615,2,1.9,5439,4.3,6387,3.1,6473,2.5,7104,2.3,8791,2.3,8617,1.7,10462,1.2
2,6,1,5,2,乾物・海藻,1103,0.3,4.8,927,0.7,951,0.5,793,0.3,1140,0.4,1110,0.3,1449,0.3,1350,0.2
2,6,1,5,3,大豆加工品,1235,0.3,4.3,964,0.8,1085,0.5,1112,0.4,1265,0.4,1391,0.4,1385,0.3,1441,0.2
2,6,1,5,4,他の野菜・海藻加工品,1567,0.4,7.7,1055,0.8,1181,0.6,1355,0.5,1752,0.6,1725,0.4,2008,0.4,1887,0.2
2,5,1,6,0,果物,3815,1,13,2174,1.7,2945,1.4,3239,1.3,3363,1.1,4253,1.1,4570,0.9,6134,0.7
2,6,1,6,1,生鮮果物,3286,0.9,11.9,1920,1.5,2639,1.3,2761,1.1,2843,0.9,3639,0.9,3937,0.8,5241,0.6
2,6,1,6,2,果物加工品,529,0.1,20.5,254,0.2,306,0.1,478,0.2,520,0.2,614,0.2,633,0.1,893,0.1
2,5,1,7,0,油脂・調味料,4444,1.2,13.5,3026,2.4,3660,1.8,4186,1.6,4390,1.4,4464,1.2,5015,1,6345,0.7
2,6,1,7,1,油脂,447,0.1,20.8,219,0.2,417,0.2,330,0.1,503,0.2,475,0.1,442,0.1,738,0.1
2,6,1,7,2,調味料,3997,1.1,12.8,2808,2.2,3243,1.6,3856,1.5,3887,1.2,3989,1,4572,0.9,5608,0.6
2,5,1,8,0,菓子類,7205,1.9,9.9,4105,3.2,4598,2.2,6229,2.4,6753,2.2,7975,2.1,9990,2,10761,1.2
2,5,1,9,0,調理食品,14307,3.8,12.8,9568,7.5,11145,5.4,12035,4.7,15796,5.1,13778,3.6,17026,3.4,20722,2.4
2,6,1,9,1,主食的調理食品,4902,1.3,8.8,3059,2.4,3412,1.7,4460,1.7,5424,1.7,4167,1.1,6006,1.2,7755,0.9
2,6,1,9,2,他の調理食品,9405,2.5,15,6509,5.1,7733,3.8,7575,3,10373,3.3,9611,2.5,11021,2.2,12967,1.5
2,5,1,10,0,飲料,4459,1.2,3.5,2532,2,2889,1.4,3706,1.4,4617,1.5,4413,1.1,5781,1.2,7248,0.8
2,6,1,10,1,茶類,1283,0.3,14.9,752,0.6,1129,0.6,948,0.4,1264,0.4,1209,0.3,1860,0.4,1811,0.2
2,6,1,10,2,コーヒー・ココア,1011,0.3,16.6,670,0.5,571,0.3,866,0.3,840,0.3,1076,0.3,1129,0.2,1919,0.2
2,6,1,10,3,他の飲料,2165,0.6,-6.8,1110,0.9,1189,0.6,1892,0.7,2514,0.8,2129,0.6,2792,0.6,3517,0.4
2,5,1,11,0,酒類,5230,1.4,17.2,2592,2,3832,1.9,4032,1.6,5963,1.9,5189,1.3,6854,1.4,8110,0.9
2,5,1,12,0,外食,19472,5.1,-0.1,5270,4.2,8773,4.3,11152,4.4,16240,5.2,18392,4.8,31038,6.3,45207,5.2
2,6,1,12,1,一般外食,18581,4.9,-1.6,4852,3.8,8618,4.2,10722,4.2,15147,4.9,17483,4.5,29290,5.9,43727,5
2,6,1,12,2,学校給食,891,0.2,43.7,418,0.3,154,0.1,430,0.2,1093,0.4,909,0.2,1748,0.4,1480,0.2
2,4,2,0,0,住居,35476,9.4,10.9,4577,3.6,16102,7.9,21970,8.6,22411,7.2,26902,7,26756,5.4,128608,14.8
2,5,2,1,0,家賃地代,19266,5.1,3,4334,3.4,13718,6.7,20742,8.1,20816,6.7,22337,5.8,20254,4.1,32462,3.7
2,5,2,2,0,設備修繕・維持,16210,4.3,22.1,244,0.2,2384,1.2,1228,0.5,1595,0.5,4565,1.2,6502,1.3,96146,11
2,6,2,2,1,設備材料,1901,0.5,-49.1,37,0,109,0.1,206,0.1,537,0.2,1294,0.3,2641,0.5,8427,1
2,6,2,2,2,工事その他のサービス,14309,3.8,50,207,0.2,2276,1.1,1023,0.4,1057,0.3,3271,0.8,3861,0.8,87718,10.1
2,4,3,0,0,光熱・水道,25095,6.6,7.6,17613,13.9,21830,10.7,24683,9.6,26869,8.6,28902,7.5,27442,5.5,28271,3.2
