"年度","対象施設数[か所]","個別指導件数[件]","集団指導件数[件]"
"2017","364","1295","202"
"2018","376","1528","260"
"2019","391","1433","142"
"2020","389","1661","55"
"2021","382","1509","185"

"令和4年度港区行政資料集　給食施設指導","Ver202203",,
