 区市町村名, 担当部署名,情報提供（１）ＨＰの設置,情報提供（２）情報誌の発行,情報提供（３）その他の媒体での情報提供,制度（４）条例・指針・計画等の策定,制度（５）支援センターの設置,制度（６）相談窓口の設置,制度（７）協働の理解・普及啓発制度,提案制度団体から行政への協働事業提案制度,提案制度行政から団体への協働相手募集制度,協働事業評価制度,財政支援財政的支援(基金等）,財政支援財政的支援(補助金・助成金）,継続的に使用する活動場所の提供,居場所づくり支援
千代田区,地域振興部　コミュニティ総務課,,,,○,,○,,○,,○,,,,
千代田区,千代田区社会福祉協議会,○,○,○,○,○,○,,,,,,○,○,○
中央区,区民部地域振興課協働推進主査,○,○,,○,○,○,○,○,,○,,,,
港区,産業・地域振興支援部地域振興課区民協働・町会自治会支援担当　,○,○,,○,○,○,○,○,,,○,○,○,○
新宿区,地域振興部地域コミュニティ課管理係,○,○,○,○,○,○,○,○,,○,○,○,,
文京区,区民部区民課協働推進担当,○,○,○,○,○,○,○,,○,,,○,,
台東区,区民部区民課協働・多文化共生係,○,○,,○,○,○,○,△,,,,,,
墨田区,地域力支援部地域活動推進課地域活動推進担当,○,,○,○,△,○,○,,,,○,○,,
江東区,地域振興部地域振興課区民協働推進担当,○,,○,○,△,,○,○,,○,,,,
品川区,地域振興部地域活動課協働推進係,○,○,,○,○,○,○,○,,,○,○,○,
目黒区,地域政策室地域政策調査課地域政策係,○,○,,○,○,○,,○,,○,,,,
大田区,地域力推進課　区民協働担当,○,○,○,○,○,○,○,○,,,○,○,○,
世田谷区,　生活文化部　市民活動・生涯現役推進課　まちづくり推進係,○,○,,○,○,○,○,○,○,,○,○,○,
渋谷区,区民部地域振興課協働推進主査,○,○,,,○,○,,,,,,,,○
中野区,地域支えあい推進室　地域活動推進分野　地域自治推進担当,○,,,○,,○,○,○,,,○,○,○,
杉並区,区民生活部地域課協働推進係,○,○,○,○,○,○,○,○,,○,○,○,○,○
豊島区,区民部区民活動推進課協働推進グループ,○,,,○,○,○,○,,,,,○,○,○
北区,地域振興部地域振興課地域振興係,○,○,○,○,○,○,○,○,,○,○,○,○,
荒川区,荒川区地域文化スポーツ部文化交流推進課,○,○,○,,○,○,○,,,,,○,○,○
板橋区,区民文化部地域振興課協働推進担当,○,○,,○,○,○,,,,,○,○,○,○
練馬区,地域文化部協働推進課協働推進担当係,○,○,○,○,○,○,,,,,,○,○,○
足立区,地域のちから推進部　区民参画推進課　区民参画支援係・ＮＰＯ活動担当,○,○,○,○,○,○,○,,,,○,○,○,○
葛飾区,"地域振興部地域振興課地域振興担当係
　（NPO等の支援に関すること）　
政策経営部　政策企画課　企画担当係
　（協働に関すること）",,○,○,○,○,○,○,,,,,○,,
江戸川区※１,文化共育部文化課都市交流係,○,○,○,○,○,○,○,,,,,○,○,
八王子市,市民活動推進部　協働推進課,○,○,○,○,○,○,○,○,,,,○,○,
立川市,産業文化スポーツ部協働推進課協働推進係,○,○,○,○,○,○,○,○,,,,○,○,○
武蔵野市,市民部市民活動推進課コミュニティ推進係,○,○,○,○,○,○,○,○,○,,,○,○,○
三鷹市,生活環境部コミュニティ創生課（市民協働センター）,○,○,○,○,○,○,,,,○,,,○,
青梅市,市民部市民活動推進課市民活動推進係,○,○,○,○,○,○,○,○,,○,,○,○,
府中市,"市民協働推進部協働推進課支援係
市民協働推進部協働推進課協働推進係",○,○,,○,○,○,○,○,,○,,○,○,
昭島市,市民部生活コミュニティ課市民活動推進係,○,○,,,○,○,,,,,,○,,○
調布市,"生活文化スポーツ部　協働推進課　参加協働推進係
行政経営部　政策企画課　政策企画係",○,○,○,○,○,○,○,,,○,○,,○,○
町田市,市民部市民協働推進課,○,○,○,○,,○,○,,,,,,,
小金井市,市民部コミュニティ文化課文化推進係,○,○,,○,○,○,○,○,,○,,,○,○
小平市,地域振興部　市民協働・男女参画推進課　市民協働担当,○,○,○,○,○,○,○,○,○,○,,○,○,○
日野市,企画部地域協働課,○,○,○,○,○,○,○,,,,,○,○,
東村山市,市民部市民協働課計画調整担当,○,○,○,○,,○,○,,,○,,○,,○
国分寺市,市民生活部協働コミュニティ課,○,○,○,○,○,○,○,○,○,○,,○,○,○
国立市,生活環境部まちの振興課コミュニティ・市民連携係,○,○,○,○,○,○,,,,,,,○,○
福生市,生活環境部　協働推進課　協働推進・男女平等推進担当,○,○,○,○,○,○,○,,○,○,,,○,
狛江市,企画財政部政策室協働調整担当,○,○,,○,○,○,○,○,,○,,○,○,
東大和市,市民部　地域振興課　市民協働係,○,○,,○,○,○,,,,,,,,
清瀬市,企画課市民協働係　,○,○,○,○,○,○,○,,,,,,○,
東久留米市,市民部生活文化課市民協働係,○,,,○,○,,○,,,○,,,○,
武蔵村山市,協働推進部　協働推進課,○,○,○,○,○,○,○,○,,○,,○,○,
多摩市,くらしと文化部　文化・市民協働課　文化・市民協働担当,○,○,○,○,○,○,○,,○,○,,,○,
稲城市,市民部市民協働課協働推進係,○,○,,○,○,○,○,,,,,,,
羽村市,　市民生活部地域振興課市民活動センター係,○,○,○,○,○,○,○,○,,,,,○,
あきる野市,総務部総務課庶務係,○,○,,,○,○,,,,,,,○,○
西東京市,生活文化スポーツ部協働コミュニティ課市民活動推進係,○,○,○,○,○,○,○,○,,○,,,○,
瑞穂町,住民部地域課地域係,○,,,○,○,○,,○,,,,○,○,
日の出町,総務課庶務係,,,,○,,,,,,,,,,
檜原村,企画財政課,,,,,,,,,,,,,,
奥多摩町,企画財政課,,,,,,,,,,,,,,
大島町,政策推進課　振興企画係,,,,,,,,,,,,,,
利島村,総務課,,,,,,,,,,,,,,
新島村,企画財政課　企画調整室,,,,,,○,,,,,,○,○,
神津島村,"福祉課（内容により各課対応）
産業観光課",,,,,,,,,,,,,,
三宅村,企画財政課　企画情報係,,,,,,,,,,,,,,
御蔵島村,総務課総務係,,,,,,,,,,,,,,
八丈町,企画財政課企画情報係,,,,,,○,,,,,,,,
青ヶ島村,総務課,,,,,,,,,,,,,,
小笠原村,総務課企画政策室,,,,,,,,,,,,,,
