"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202304","鍼灸整体治療院薫風","東京都港区南麻布一丁目7番24号","1002","2023/3/31","35.650386","139.737326"
"202304","ＬＯＯＰＬＥ（ループル）鍼灸マッサージ院南麻布","東京都港区南麻布二丁目5番21号","イデア南麻布1階","2023/3/31","35.650020","139.737024"
"202305","Ｋ　ＳＰＯＲＴＳＭＡＳＳＡＧＥ","東京都港区麻布十番一丁目4番8号","マドモアゼルビル703","2023/5/30","35.657019","139.734687"
"202306","ツボハウス","東京都港区芝浦三丁目6番2号","第5協栄ビル3・4F","2023/6/22","35.643504","139.749007"
"202306","癒間専科芝浦鍼灸院","東京都港区芝浦三丁目11番12号","ASK芝浦ビル6階","2023/6/22","35.643051","139.749832"
"202307","にしむら治療院はり・きゅう","東京都港区芝五丁目27番5号","山田ビル503","2023/6/30","35.647121","139.746323"
"202307","メディカル鍼灸マッサージ院","東京都港区西麻布二丁目21番3号",,"2023/7/11","35.661668","139.718923"
"202307","ひるず鍼灸院","東京都港区六本木七丁目17番22号","秀和六本木レジデンス703","2023/7/5","35.662892","139.728720"
"202308","ＳＧＴヘルスケアルーム","東京都港区港南二丁目16番3号","品川グランドセントラルタワー20階","2023/7/28","35.626615","139.740774"
"202308","押小路治療室","東京都港区南青山二丁目2番15号","ウイン青山726","2023/7/1","35.671444","139.723779"
"202308","はり・灸・マッサージアキュ・モード","東京都港区南青山二丁目26番34号","北屋ビル3階","2022/12/31","35.669869","139.716998"
"202308","鍼灸サロン　ル　レーヴ","東京都港区南麻布二丁目7番30号","リバーサイド304","2023/7/30","35.648151","139.736941"
"202309","魚藍坂マッサージセンター","東京都港区高輪一丁目5番19号","ヒルトップ高輪305","2023/9/26","35.642198","139.736283"
"202309","白金高輪治療院","東京都港区高輪一丁目11番8号","コートハウス高輪102","2023/9/26","35.641454","139.734966"
"202309","慶応治療院","東京都港区高輪三丁目12番4号",,"2023/9/26","35.630852","139.730537"
"202309","麻布　ＭＵＳＵＶＩＮＯ鍼灸院","東京都港区南麻布三丁目4番5号","エスセナーリオ南麻布104","2023/9/29","35.649887","139.734846"
"202309","シーボン六本木鍼灸院","東京都港区六本木七丁目18番12号","シーボンview2階","2023/8/31","35.662037","139.728965"
"202310","赤坂山王鍼灸治療院","東京都港区赤坂七丁目5番34号","インペリアル赤坂フォーラム1階","2023/9/30","35.671156","139.730276"
"202310","日本タタ・コンサルタンシー・サービシズ株式会社リラクゼーションルーム","東京都港区芝公園四丁目1番4号","メソニック38MTビル 8階","2023/10/23","35.659093","139.744043"
"202310","ハリのち晴れ　鍼灸治療院","東京都港区芝大門二丁目1番13号","4F","2023/10/1","35.655898","139.75298"
"202310","鍼灸治療院ハリのち晴れ","東京都港区芝大門二丁目8番16号","島倉ビル2F","2023/10/1","35.655661","139.75288"
"202310","リライフ鍼灸マッサージ院","東京都港区新橋三丁目11番9号","烏森通りビル3階","2023/9/30","35.666281","139.755725"
"202310","株式会社ＴＤモバイル　健康管理室","東京都港区浜松町一丁目30番5号","浜松町スクエア5階","2023/9/30","35.657061","139.756769"
"202310","株式会社メディカルジャパン　青山鍼灸院","東京都港区南青山二丁目4番11号","201号室 ランド南青山","2023/10/30","35.671063","139.723121"
"202310","ハリアップ","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワーウェストウォーク6階","2023/9/30","35.660705","139.729207"
"202311","ＡＩＧハーモニー　マッサージルーム","東京都港区虎ノ門四丁目3番20号","神谷町MTビル2階","2023/10/29","35.663494","139.744526"
"202311","デポルターレ鍼灸院","東京都港区西麻布三丁目17番34号","3F","2023/8/23","35.65885","139.724949"
"202312","レイス治療院　東京みなと","東京都港区芝大門二丁目6番11号","欧文ビル3階","2023/12/1","35.654955","139.75358"
"202312","株式会社商船三井マッサージ室","東京都港区虎ノ門二丁目1番1号","(商船三井ビル15階)","2023/12/25","35.669722","139.747018"
"202401","佐藤鍼灸院","東京都港区赤坂六丁目19番40号","秀和赤坂レジデンス801","2023/12/31","35.667207","139.733529"
"202401","はりきゅうマッサージ治療院らるく","東京都港区南青山一丁目22番3号","グラン南青山102","2024/1/19","35.666791","139.725261"
"202402","ＰＨＩＬＩＰＳ　Ｍａｓｓａｇｅ　Ｒｏｏｍ","東京都港区港南二丁目13番37号","フィリップスビル5階","2024/2/22","35.628224","139.745324"
"202402","麻布治療院","東京都港区東麻布三丁目8番11号","2階","2016/12/31","35.656533","139.73743"
"202403","青山３丁目はり灸院","東京都港区北青山三丁目3番7号","第一青山ビル2階","2024/3/29","35.668363","139.714833"
"202403","東ソー株式会社　マッサージルーム","東京都港区芝三丁目8番2号","芝公園ファーストビル8階","2024/3/15","35.652359","139.74744"
"202403","プラスケア","東京都港区芝浦三丁目6番3号","協栄ビル3階","2024/2/29","35.643533","139.748877"
"202403","この花鍼灸院","東京都港区白金台五丁目2番5号","トランドゥ201","2024/1/31","35.642475","139.720878"
"202403","高輪マッサージ指圧針灸院","東京都港区高輪四丁目20番16号","セントリバー高輪102","2024/3/10","35.625879","139.735046"
"202403","富士通ハーモニー汐留オフィスヘルスキーピングルーム","東京都港区東新橋一丁目5番2号","汐留シティーセンター23階PacificOceanAtlanticOcean","2024/3/15","35.665497","139.760881"

"施術所（あはき）廃止一覧(令和6年3月31日現在)","Ver202403",,,,,
