地域階層,地域コード,国・地域(人),総数,中国,韓国,ベトナム,フィリピン,ネパール,台湾,米国,インド,ミャンマー,タイ,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,569822,225709,94062,37117,33736,26188,20661,19318,13415,9970,8060,81586,542916,26906
1,13100,区部,479801,193739,80279,29800,25266,22833,17751,15848,12390,9402,6563,65930,457590,22211
4,13101,千代田区,3197,1347,490,85,61,23,204,210,86,12,43,636,3022,175
4,13102,中央区,8312,3654,1491,181,140,96,425,412,320,43,91,1459,7462,850
4,13103,港区,20435,4142,3524,145,1074,103,757,3199,675,54,184,6578,20007,428
4,13104,新宿区,42466,14699,10239,3123,796,3006,1916,984,244,1905,688,4866,42849,-383
4,13105,文京区,11429,5020,1700,951,229,320,562,446,99,323,204,1575,10484,945
4,13106,台東区,15650,6870,3069,810,776,585,518,272,732,124,355,1539,15211,439
4,13107,墨田区,12744,5960,1975,665,1337,294,413,207,137,88,381,1287,12382,362
4,13108,江東区,30367,15296,4534,1080,1586,622,743,491,2281,436,371,2927,28884,1483
4,13109,品川区,13788,4667,2585,579,835,739,665,609,405,300,183,2221,12918,870
4,13110,目黒区,9644,1964,1535,219,557,250,492,1040,228,48,174,3137,8967,677
4,13111,大田区,25017,8742,3624,1763,2498,2300,1086,637,320,277,465,3305,23784,1233
4,13112,世田谷区,22648,6357,4514,957,976,485,1104,1786,509,150,267,5543,21127,1521
4,13113,渋谷区,11302,2259,1684,362,340,186,619,1482,224,56,169,3921,10608,694
4,13114,中野区,19910,7201,3441,1918,549,1839,1001,531,137,440,267,2586,18936,974
4,13115,杉並区,18334,6291,2922,1428,573,2181,1007,794,113,186,248,2591,17318,1016
4,13116,豊島区,29276,13214,2656,3103,549,2876,1309,459,168,2035,294,2613,29882,-606
4,13117,北区,23176,11456,2430,2058,830,1294,562,258,215,1009,198,2866,22160,1016
4,13118,荒川区,19126,7651,4943,1854,550,1133,391,189,127,485,167,1636,18838,288
4,13119,板橋区,28266,14963,3395,1755,1620,1249,1090,390,129,364,319,2992,26049,2217
4,13120,練馬区,21141,9186,4500,944,1139,729,901,555,136,190,281,2580,19203,1938
4,13121,足立区,33431,14865,7402,1868,3690,474,693,309,187,200,465,3278,31104,2327
4,13122,葛飾区,22716,11823,3147,1256,1676,856,522,235,109,270,250,2572,21447,1269
4,13123,江戸川区,37426,16112,4479,2696,2885,1193,771,353,4809,407,499,3222,34948,2478
