年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成27年5月,2015,5,102.6,102.2,103.8,104.6,97.8,99.1,124.1,90.6,103.8,100.7,102.9,104.2,98,108.1
平成27年6月,2015,6,102.2,102.1,103.4,103.8,97.9,99.1,121.1,90.7,103.2,100.7,103.1,104.2,97.9,108.3
平成27年7月,2015,7,102,101.9,103.1,103.6,97.9,99.1,117.6,90.4,99.7,100.7,103.8,104.2,98.8,108.6
平成27年8月,2015,8,102.2,102,103.3,104.2,97.9,99.1,114.9,90.3,98.5,100.8,104.2,104.2,100.8,108.5
平成27年9月,2015,9,102.2,101.9,103.4,104.9,97.8,99,112.2,90.2,105.1,100.8,102.7,104.2,99.7,108.9
平成27年10月,2015,10,102.3,102,103.4,105.1,97.8,98.6,111.5,90.2,106.4,100.6,102.5,104.2,100.1,108.8
平成27年11月,2015,11,101.9,102,103,103.5,97.8,98.6,111.9,90.6,106.6,100.7,102.2,104.2,100,108.6
平成27年12月,2015,12,101.9,101.9,103,104.1,97.8,98.6,111.9,90,105.3,100.7,102.3,104.2,99.9,108.5
平成28年1月,2016,1,101.3,101.1,102.3,105,97.7,98.6,111.6,89.5,97.4,100.8,101.4,104.2,97.3,108.4
平成28年2月,2016,2,101.7,101.3,102.8,105.8,97.6,98.3,111,89.6,99.3,100.9,101.2,104.7,98.7,108.2
平成28年3月,2016,3,102,101.6,103.1,105.7,97.6,98.4,110,90.4,102.8,101,101.5,104.7,99.5,108.6
平成28年4月,2016,4,102,101.7,103.2,105.2,97.6,98.4,108.5,92.2,105.2,101.3,101.4,105,100.1,109
平成28年5月,2016,5,102,101.7,103.2,105.3,97.5,98.5,108.4,91.3,104.9,101.2,101.3,105,100.4,109.2
平成28年6月,2016,6,101.7,101.6,102.8,104.7,97.4,98.3,106.7,90.7,104.6,101.3,101.6,105,100,109.1
平成28年7月,2016,7,101.5,101.4,102.6,104.5,97.4,98.3,105.4,89.6,102,101.4,102.1,105,100.4,109.1
前月比(％)／平成27年7月,2015,7,-0.2,-0.2,-0.3,-0.2,0,0,-2.9,-0.4,-3.4,0,0.6,0,0.9,0.3
前月比(％)／平成27年8月,2015,8,0.2,0.1,0.2,0.6,0,0,-2.3,-0.1,-1.2,0.1,0.4,0,2,-0.1
前月比(％)／平成27年9月,2015,9,0,-0.1,0.1,0.7,-0.1,-0.1,-2.4,-0.1,6.7,0,-1.4,0,-1.1,0.4
前月比(％)／平成27年10月,2015,10,0.1,0.1,0.1,0.1,0,-0.4,-0.6,0,1.2,-0.2,-0.2,0,0.5,-0.1
前月比(％)／平成27年11月,2015,11,-0.4,0,-0.5,-1.5,0,0,0.3,0.4,0.3,0.1,-0.3,0,-0.1,-0.2
前月比(％)／平成27年12月,2015,12,0,-0.1,0.1,0.6,0,0,-0.1,-0.6,-1.2,0,0.1,0,-0.1,-0.1
前月比(％)／平成28年1月,2016,1,-0.6,-0.8,-0.7,0.8,0,0,-0.2,-0.5,-7.5,0.1,-0.9,0,-2.6,-0.1
前月比(％)／平成28年2月,2016,2,0.4,0.2,0.5,0.8,-0.1,-0.2,-0.5,0.1,1.9,0.1,-0.2,0.5,1.4,-0.2
前月比(％)／平成28年3月,2016,3,0.3,0.3,0.3,-0.1,0,0,-0.9,0.9,3.6,0.1,0.3,0,0.8,0.4
前月比(％)／平成28年4月,2016,4,0,0.1,0.1,-0.5,-0.1,0,-1.3,2,2.3,0.3,-0.1,0.2,0.7,0.4
前月比(％)／平成28年5月,2016,5,0,0,0,0.2,-0.1,0.1,-0.1,-1,-0.2,0,-0.1,0,0.3,0.2
前月比(％)／平成28年6月,2016,6,-0.3,-0.1,-0.4,-0.6,-0.1,-0.1,-1.6,-0.7,-0.3,0.1,0.3,0,-0.5,-0.1
前月比(％)／平成28年7月,2016,7,-0.2,-0.1,-0.2,-0.1,0,0,-1.2,-1.3,-2.4,0.1,0.5,0,0.5,0
前年同月比(％)／平成27年7月,2015,7,0.1,-0.1,0.3,2.1,-0.4,-0.2,-5.6,0.6,-0.3,1,-0.9,0.7,1.1,0.9
前年同月比(％)／平成27年8月,2015,8,0.1,-0.1,0.2,2.2,-0.3,-0.1,-7.5,1.6,-0.3,1.2,-1.1,0.7,1.3,0.5
前年同月比(％)／平成27年9月,2015,9,-0.1,-0.2,0,1.3,-0.4,-0.1,-9.4,1.4,0.6,1,-1.1,0.7,2.1,0.9
前年同月比(％)／平成27年10月,2015,10,0.1,-0.2,0.2,2.9,-0.4,-0.6,-9.4,0.9,0.9,0.8,-1.6,0.7,1.5,0.8
前年同月比(％)／平成27年11月,2015,11,0.1,0,0.2,2.1,-0.4,-0.6,-8.9,2,1.2,1.1,-1.5,0.7,2.6,0.7
前年同月比(％)／平成27年12月,2015,12,0.1,0.1,0.2,1.8,-0.4,-0.6,-8.8,1.9,1,1,-1.3,0.7,2.5,0.7
前年同月比(％)／平成28年1月,2016,1,-0.3,-0.1,-0.3,1.1,-0.3,-0.5,-9.2,1.1,-0.6,1.1,-1.1,0.7,1.9,0.6
前年同月比(％)／平成28年2月,2016,2,0.1,-0.1,0.2,2.2,-0.4,-0.8,-10.3,1.1,1,1.1,-1,1.3,2.3,0.5
前年同月比(％)／平成28年3月,2016,3,-0.1,-0.3,-0.1,2.2,-0.4,-0.8,-12,1.2,1.4,1.1,-1.5,1.3,1.8,1.1
前年同月比(％)／平成28年4月,2016,4,-0.4,-0.3,-0.5,0.8,-0.4,-0.8,-13,1.9,1.7,1,-1.3,0.8,2.5,0.9
前年同月比(％)／平成28年5月,2016,5,-0.5,-0.5,-0.6,0.7,-0.3,-0.6,-12.7,0.8,1,0.5,-1.6,0.8,2.5,1.1
前年同月比(％)／平成28年6月,2016,6,-0.5,-0.5,-0.5,0.8,-0.4,-0.7,-11.9,0,1.3,0.6,-1.4,0.8,2.1,0.8
前年同月比(％)／平成28年7月,2016,7,-0.4,-0.4,-0.4,0.9,-0.5,-0.8,-10.4,-0.9,2.3,0.7,-1.6,0.8,1.6,0.5
,,,,,,,,,,,,,,,,
東京の物価／平成２８年７月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０１０年＝１００／(平成２２年＝１００),,,,,,,,,,,,,,,,
