執行年月日_西暦,執行年月日_和暦,曜日,天候,選挙種別,当日有権者数（男）（人）,当日有権者数（女）（人）,当日有権者数（総計）（人）,投票者数（男）（人）,投票者数（女）（人）,投票者数（総計）（人）,投票率（男）（％）,投票率（女）（％）,投票率（総計）（％）
1947-04-30,昭和22年4月30日,水曜日,晴時々曇,目黒区議会議員,"52,832","48,039","100,871","30,033","25,048","55,081",56.85%,52.14%,54.61%
1951-04-23,昭和26年4月23日,月曜日,曇後晴,目黒区議会議員,"65,910","63,839","129,749","44,430","44,677","89,107",67.41%,69.98%,68.68%
1955-04-30,昭和30年4月30日,土曜日,小雨,目黒区議会議員,"74,962","72,747","147,709","40,410","41,509","81,919",53.91%,57.06%,55.46%
1959-04-30,昭和34年4月30日,木曜日,晴,目黒区議会議員,"85,305","81,173","166,478","48,001","50,675","98,676",56.27%,62.43%,59.27%
1963-04-30,昭和38年4月30日,水曜日,晴後曇,目黒区議会議員,"94,688","91,187","185,875","48,620","53,227","101,847",51.35%,58.37%,54.79%
1967-04-15,昭和42年4月15日,土曜日,小雨後曇,目黒区議会議員,"102,896","98,287","201,183","68,992","72,627","141,619",67.05%,73.89%,70.39%
1967-04-11,昭和42年4月11日,日曜日,快晴,目黒区議会議員,"101,286","103,789","205,075","71,325","76,580","147,905",70.42%,73.78%,72.12%
1975-04-27,昭和50年4月27日,日曜日,小雨,目黒区議会議員,"96,368","102,549","198,917","47,160","53,993","101,153",48.94%,52.65%,50.85%
1979-04-22,昭和54年4月22日,日曜日,晴,目黒区議会議員,"92,326","100,018","192,344","45,609","53,364","98,973",49.40%,53.35%,51.46%
1983-04-24,昭和58年4月24日,日曜日,晴,目黒区議会議員,"95,577","101,982","197,559","43,742","52,490","96,232",45.77%,51.47%,48.71%
1987-04-26,昭和62年4月26日,日曜日,曇時々小雨,目黒区議会議員,"95,844","103,922","199,766","40,214","48,252","88,466",41.96%,46.43%,44.28%
1991-04-21,平成3年4月21日,日曜日,晴,目黒区議会議員,"91,016","100,419","191,435","36,723","45,012","81,735",40.35%,44.82%,42.70%
1994-10-16,平成6年10月16日,日曜日,晴,目黒区議会議員補欠,"90,719","101,990","192,709","22,013","26,150","48,163",24.27%,25.64%,24.99%
1995-04-23,平成7年4月23日,日曜日,曇後雨強風,目黒区議会議員,"89,540","101,212","190,752","32,645","39,061","71,706",36.46%,38.59%,37.59%
1999-04-25,平成11年4月25日,日曜日,曇後晴,目黒区議会議員,"91,924","105,267","197,191","36,926","44,216","81,142",40.17%,42.00%,41.15%
2002-10-06,平成14年10月6日,日曜日,晴,目黒区議会議員補欠,"96,139","110,818","206,957","25,553","30,261","55,814",26.58%,27.31%,26.97%
2003-04-27,平成15年4月27日,日曜日,晴,目黒区議会議員,"95,268","110,101","205,369","33,740","40,484","74,224",35.42%,36.77%,36.14%
2007-04-22,平成19年4月22日,日曜日,曇,目黒区議会議員,"97,814","113,040","210,854","37,389","43,779","81,168",38.22%,38.73%,38.49%
2011-04-24,平成23年4月24日,日曜日,晴,目黒区議会議員,"98,380","114,762","213,142","38,442","44,603","83,045",39.08%,38.87%,38.96%
2015-04-26,平成27年4月26日,日曜日,晴,目黒区議会議員,"101,352","117,844","219,196","39,850","46,414","86,264",39.32%,39.39%,39.35%
2019-04-21,平成31年4月21日,日曜日,晴,目黒区議会議員,"105,997","122,389","228,386","42,615","49,390","92,005",40.20%,40.35%,40.28%
