地域階層,地域コード,地域,人口／総数／平成27年（人）,人口／構成比／平成27年（％）,人口／男／平成27年（人）,人口／女／平成27年（人）,人口／人口性比（女100人に対する男の数）／平成27年（％）　,人口／総数／平成22年（人）,人口／総数／平成22年～27年の増減数（人）,人口／総数／平成22年～27年の増減率（人）,世帯／総数／平成27年（世帯）,世帯／総数／1世帯当たり人員／平成27年（人）,世帯／総数／平成22年（世帯）,世帯／総数／1世帯当たり人員／平成22年（世帯）,世帯／総数／平成22年～27年の増減数（世帯）,世帯／総数／1世帯当たり人員／平成22年～27年の増減数（世帯）
0,13000,東京都総数,13515271,100,6666690,6848581,97.3,13159388,355883,2.7,6701122,2.02,6393768,2.06,307354,-0.04
1,13100,区部,9272740,68.61,4567247,4705493,97.1,8945695,327045,3.66,4801194,1.93,4540746,1.97,260448,-0.04
4,13101,千代田区,58406,0.43,29343,29063,101,47115,11291,23.96,33262,1.76,25560,1.84,7702,-0.08
4,13102,中央区,141183,1.04,67536,73647,91.7,122762,18421,15.01,79272,1.78,67981,1.81,11291,-0.03
4,13103,港区,243283,1.8,114717,128566,89.2,205131,38152,18.6,130562,1.86,110113,1.86,20449,0
4,13104,新宿区,333560,2.47,167258,166302,100.6,326309,7251,2.22,204989,1.63,195434,1.67,9555,-0.04
4,13105,文京区,219724,1.63,105990,113734,93.2,206626,13098,6.34,120858,1.82,111753,1.85,9105,-0.03
4,13106,台東区,198073,1.47,101982,96091,106.1,175928,22145,12.59,112117,1.77,95413,1.84,16704,-0.07
4,13107,墨田区,256274,1.9,127925,128349,99.7,247606,8668,3.5,130862,1.96,120797,2.05,10065,-0.09
4,13108,江東区,498109,3.69,246750,251359,98.2,460819,37290,8.09,243708,2.04,214424,2.15,29284,-0.11
4,13109,品川区,386855,2.86,191090,195765,97.6,365302,21553,5.9,212374,1.82,196132,1.86,16242,-0.04
4,13110,目黒区,277622,2.05,130947,146675,89.3,268330,9292,3.46,146162,1.9,138028,1.94,8134,-0.04
4,13111,大田区,717082,5.31,359753,357329,100.7,693373,23709,3.42,371149,1.93,345608,2.01,25541,-0.08
4,13112,世田谷区,903346,6.68,428874,474472,90.4,877138,26208,2.99,463632,1.95,448961,1.95,14671,0
4,13113,渋谷区,224533,1.66,107986,116547,92.7,204492,20041,9.8,135749,1.65,123746,1.65,12003,0
4,13114,中野区,328215,2.43,165382,162833,101.6,314750,13465,4.28,196132,1.67,184267,1.71,11865,-0.04
4,13115,杉並区,563997,4.17,271737,292260,93,549569,14428,2.63,312001,1.81,302805,1.81,9196,0
4,13116,豊島区,291167,2.15,146827,144340,101.7,284678,6489,2.28,176376,1.65,166214,1.71,10162,-0.06
4,13117,北区,341076,2.52,169829,171247,99.2,335544,5532,1.65,178379,1.91,172568,1.94,5811,-0.03
4,13118,荒川区,212264,1.57,105113,107151,98.1,203296,8968,4.41,103101,2.06,96161,2.11,6940,-0.05
4,13119,板橋区,561916,4.16,276592,285324,96.9,535824,26092,4.87,291408,1.93,272683,1.97,18725,-0.04
4,13120,練馬区,721722,5.34,351609,370113,95,716124,5598,0.78,337987,2.14,336163,2.13,1824,0.01
4,13121,足立区,670122,4.96,334922,335200,99.9,683426,-13304,-1.95,310662,2.16,314618,2.17,-3956,-0.01
4,13122,葛飾区,442913,3.28,221621,221292,100.1,442586,327,0.07,201380,2.2,197276,2.24,4104,-0.04
4,13123,江戸川区,681298,5.04,343464,337834,101.7,678967,2331,0.34,309072,2.2,304041,2.23,5031,-0.03
1,13200,市部,4157706,30.76,2056488,2101218,97.9,4127128,30578,0.74,1864627,2.23,1818388,2.27,46239,-0.04
4,13201,八王子市,577513,4.27,291238,286275,101.7,580053,-2540,-0.44,253356,2.28,249893,2.32,3463,-0.04
4,13202,立川市,176295,1.3,86978,89317,97.4,179668,-3373,-1.88,83285,2.12,80916,2.22,2369,-0.1
4,13203,武蔵野市,144730,1.07,69475,75255,92.3,138734,5996,4.32,74022,1.96,71228,1.95,2794,0.01
4,13204,三鷹市,186936,1.38,90641,96295,94.1,186083,853,0.46,90226,2.07,90190,2.06,36,0.01
4,13205,青梅市,137381,1.02,68677,68704,100,139339,-1958,-1.41,54371,2.53,52544,2.65,1827,-0.12
4,13206,府中市,260274,1.93,132172,128102,103.2,255506,4768,1.87,119569,2.18,115166,2.22,4403,-0.04
4,13207,昭島市,111539,0.83,55394,56145,98.7,112297,-758,-0.67,48258,2.31,47236,2.38,1022,-0.07
4,13208,調布市,229061,1.69,111921,117140,95.5,223593,5468,2.45,110581,2.07,107919,2.07,2662,0
4,13209,町田市,432348,3.2,212312,220036,96.5,426987,5361,1.26,186711,2.32,180159,2.37,6552,-0.05
4,13210,小金井市,121396,0.9,60168,61228,98.3,118852,2544,2.14,59796,2.03,57695,2.06,2101,-0.03
4,13211,小平市,190005,1.41,93777,96228,97.5,187035,2970,1.59,82888,2.29,81784,2.29,1104,0
4,13212,日野市,186283,1.38,93349,92934,100.4,180052,6231,3.46,84928,2.19,80138,2.25,4790,-0.06
4,13213,東村山市,149956,1.11,73314,76642,95.7,153557,-3601,-2.35,64604,2.32,63985,2.4,619,-0.08
4,13214,国分寺市,122742,0.91,60274,62468,96.5,120650,2092,1.73,59130,2.08,57775,2.09,1355,-0.01
4,13215,国立市,73655,0.54,35970,37685,95.4,75510,-1855,-2.46,34062,2.16,35767,2.11,-1705,0.05
4,13218,福生市,58395,0.43,29238,29157,100.3,59796,-1401,-2.34,27260,2.14,27045,2.21,215,-0.07
4,13219,狛江市,80249,0.59,39206,41043,95.5,78751,1498,1.9,39458,2.03,39168,2.01,290,0.02
4,13220,東大和市,85157,0.63,41820,43337,96.5,83068,2089,2.51,35555,2.4,33648,2.47,1907,-0.07
4,13221,清瀬市,74864,0.55,35968,38896,92.5,74104,760,1.03,32369,2.31,30954,2.39,1415,-0.08
4,13222,東久留米市,116632,0.86,56738,59894,94.7,116546,86,0.07,49902,2.34,49177,2.37,725,-0.03
4,13223,武蔵村山市,71229,0.53,35556,35673,99.7,70053,1176,1.68,28300,2.52,26790,2.61,1510,-0.09
4,13224,多摩市,146631,1.08,71762,74869,95.9,147648,-1017,-0.69,65461,2.24,64078,2.3,1383,-0.06
4,13225,稲城市,87636,0.65,44041,43595,101,84835,2801,3.3,36533,2.4,34842,2.43,1691,-0.03
4,13227,羽村市,55833,0.41,28451,27382,103.9,57032,-1199,-2.1,23451,2.38,23449,2.43,2,-0.05
4,13228,あきる野市,80954,0.6,40218,40736,98.7,80868,86,0.11,30817,2.63,29385,2.75,1432,-0.12
4,13229,西東京市,200012,1.48,97830,102182,95.7,196511,3501,1.78,89734,2.23,87457,2.25,2277,-0.02
1,13550,町村部,84825,0.63,42955,41870,102.6,86565,-1740,-2.01,35301,2.4,34634,2.5,667,-0.1
2,13300,郡部,58334,0.43,29096,29238,99.5,58750,-416,-0.71,21876,2.67,20962,2.8,914,-0.13
4,13303,瑞穂町,33445,0.25,16951,16494,102.8,33497,-52,-0.16,13192,2.54,12369,2.71,823,-0.17
4,13305,日の出町,17446,0.13,8485,8961,94.7,16650,796,4.78,5800,3.01,5461,3.05,339,-0.04
4,13307,檜原村,2209,0.02,1081,1128,95.8,2558,-349,-13.64,839,2.63,915,2.8,-76,-0.17
4,13308,奥多摩町,5234,0.04,2579,2655,97.1,6045,-811,-13.42,2045,2.56,2217,2.73,-172,-0.17
2,13350,島部,26491,0.2,13859,12632,109.7,27815,-1324,-4.76,13425,1.97,13672,2.03,-247,-0.06
3,13360,大島支庁,12861,0.1,6535,6326,103.3,13574,-713,-5.25,6193,2.08,6340,2.14,-147,-0.06
4,13361,大島町,7884,0.06,4031,3853,104.6,8461,-577,-6.82,3947,2,4098,2.06,-151,-0.06
4,13362,利島村,337,0,191,146,130.8,341,-4,-1.17,194,1.74,204,1.67,-10,0.07
4,13363,新島村,2749,0.02,1344,1405,95.7,2883,-134,-4.65,1261,2.18,1251,2.3,10,-0.12
4,13364,神津島村,1891,0.01,969,922,105.1,1889,2,0.11,791,2.39,787,2.4,4,-0.01
3,13380,三宅支庁,2817,0.02,1539,1278,120.4,3024,-207,-6.85,1677,1.68,1776,1.7,-99,-0.02
4,13381,三宅村,2482,0.02,1350,1132,119.3,2676,-194,-7.25,1483,1.67,1578,1.7,-95,-0.03
4,13382,御蔵島村,335,0,189,146,129.5,348,-13,-3.74,194,1.73,198,1.76,-4,-0.03
3,13400,八丈支庁,7791,0.06,3892,3899,99.8,8432,-641,-7.6,4038,1.93,4212,2,-174,-0.07
4,13401,八丈町,7613,0.06,3785,3828,98.9,8231,-618,-7.51,3913,1.95,4090,2.01,-177,-0.06
4,13402,青ヶ島村,178,0,107,71,150.7,201,-23,-11.44,125,1.42,122,1.65,3,-0.23
3,13420,小笠原支庁,3022,0.02,1893,1129,167.7,2785,237,8.51,1517,1.99,1344,2.07,173,-0.08
4,13421,小笠原村,3022,0.02,1893,1129,167.7,2785,237,8.51,1517,1.99,1344,2.07,173,-0.08
,,,,,,,,,,,,,,,,
平成27年国勢調査  人口等基本集計結果概要,,,,,,,,,,,,,,,,
第３表　区市町村、男女別人口及び世帯数,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,,,,,,
