全国地方公共団体コード,ID,地方公共団体名,地区名,ゴミの品目,ゴミの品目_英字,分別区分,備考
133035,133035GMLT002386,瑞穂町,全域,24時間風呂,24-hour bath,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000201,瑞穂町,全域,BSアンテナ 50cm以上のもの,BS antenna 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000200,瑞穂町,全域,BSアンテナ 50cm未満のもの,BS antenna Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000873,瑞穂町,全域,CDプレーヤー・CDラジカセ 50cm以上のもの,CD player/CD boombox 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000872,瑞穂町,全域,CDプレーヤー・CDラジカセ 50cm未満のもの,CD player/CD boombox Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000863,瑞穂町,全域,CSアンテナ 50cm以上のもの,CS antenna 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000862,瑞穂町,全域,CSアンテナ 50cm未満のもの,CS antenna Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT002180,瑞穂町,全域,DVDプレーヤー・DVDレコーダー 50cm以上のもの,DVD player/DVD recorder 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT002179,瑞穂町,全域,DVDプレーヤー・DVDレコーダー 50cm未満のもの,DVD player/DVD recorder Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001417,瑞穂町,全域,MDラジカセ 50cm以上のもの,MD boom box 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT001416,瑞穂町,全域,MDラジカセ 50cm未満のもの,MD boom box Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001414,瑞穂町,全域,MD・LDプレーヤー 50cm未満のもの,MD/LD Player Less than 50 cm,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT001415,瑞穂町,全域,MD・LDプレーヤー 50cm未満のもの,MD/LD Player Less than 50 cm,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000001,瑞穂町,全域,ICレコーダー,Digital voice recorder,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000002,瑞穂町,全域,アイスのスプーン・棒 木,Ice cream spoons and sticks Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000003,瑞穂町,全域,アイスのスプーン・棒 プラスチック,Ice cream spoons and sticks Plastic,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000004,瑞穂町,全域,アイスのスプーン・棒 プラスチック（外装）,Ice spoons and sticks Plastic (exterior),容器包装プラスチック,きれいに洗って、透明又は半透明の袋に入れる
133035,133035GMLT000005,瑞穂町,全域,アイスの容器 紙（外箱）,Ice cream container Paper (outer box),雑がみ,紙袋・紙の空き箱などに入れるかひもでしばる
133035,133035GMLT000006,瑞穂町,全域,アイスの容器 紙（コーティングされているカップ）,Ice cream containers Paper (coated cups),燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000007,瑞穂町,全域,アイスの容器 プラスチック,Ice cream containers Plastic,容器包装プラスチック,中身をカラにし、きれいに洗って、透明又は半透明の袋に入れる ※汚れのとれないものは燃やせるごみへ
133035,133035GMLT000008,瑞穂町,全域,アイスノン,Reusable Cold Pack,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000009,瑞穂町,全域,アイスピック,Ice pick,金属,バケツ・カゴなどに入れる ※紙や布などに包み、表示（「キケン」など）をする
133035,133035GMLT000010,瑞穂町,全域,アイロン,Clothes Iron,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000013,瑞穂町,全域,アイロン台 50cm以上のもの,Ironing board 50 cm or longer,粗大ごみ,リサイクルプラザに申込む
133035,133035GMLT000011,瑞穂町,全域,アイロン台 木,Ironing board Wood,燃やせるごみ,町指定収集袋（クリーム色）
133035,133035GMLT000012,瑞穂町,全域,アイロン台 上記以外,Ironing board Other than above,燃やせないごみ,町指定収集袋（水色）
133035,133035GMLT000014,瑞穂町,全域,空き缶,Empty can,カン,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT000015,瑞穂町,全域,空きびん,Empty bottle,ビン,きれいに洗って、バケツ・カゴなどに入れる
133035,133035GMLT000016,瑞穂町,全域,空きびんのふた 金属,Empty bottle lid Metal,金属,きれいに洗って、バケツ・カゴなどに入れる
