"年月[西暦]","回収方法","種類","回収量[kg]","対前年同月比[%]"
"201804","集積所回収","資源プラスチック","216600","1"
"201804","集積所回収","古紙","579540","-3"
"201804","集積所回収","びん・缶","343328","-3"
"201804","集積所回収","ペットボトル","94690","8"
"201804","拠点回収","紙パック","0","-"
"201804","拠点回収","使用済み乾電池","0","-"
"201804","拠点回収","使用済み小型家電製品","180","35"
"201804","拠点回収","古着","2580","-47"
"201804","拠点回収","蛍光灯","3","-67"
"201804","拠点回収","ペットボトルキャップ","52","23"
"201804","拠点回収","廃食用油","0","-"
"201804","ピックアップ回収","金属製品等（不燃ごみからの回収）","52230","6"
"201804","ピックアップ回収","コード類（不燃ごみからの回収）","3380","27"
"201804","ピックアップ回収","蛍光灯（不燃ごみからの回収）","0","-"
"201804","ピックアップ回収","金属製品等（粗大ごみからの回収）","32370","19"
"201804","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201804","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201804","ピックアップ回収","木材（粗大ごみからの回収）","30850","10"
"201805","集積所回収","資源プラスチック","224670","1"
"201805","集積所回収","古紙","601040","-"
"201805","集積所回収","びん・缶","361705","-3"
"201805","集積所回収","ペットボトル","106690","6"
"201805","拠点回収","紙パック","0","-"
"201805","拠点回収","使用済み乾電池","1986","1"
"201805","拠点回収","使用済み小型家電製品","281","57"
"201805","拠点回収","古着","6737","13"
"201805","拠点回収","蛍光灯","14","133"
"201805","拠点回収","ペットボトルキャップ","39","2"
"201805","拠点回収","廃食用油","0","-"
"201805","ピックアップ回収","金属製品等（不燃ごみからの回収）","45470","-10"
"201805","ピックアップ回収","コード類（不燃ごみからの回収）","3330","4"
"201805","ピックアップ回収","蛍光灯（不燃ごみからの回収）","2941","-4"
"201805","ピックアップ回収","金属製品等（粗大ごみからの回収）","35480","31"
"201805","ピックアップ回収","羽毛布団（粗大ごみからの回収）","0","-"
"201805","ピックアップ回収","ふとん（粗大ごみからの回収）","0","-"
"201805","ピックアップ回収","木材（粗大ごみからの回収）","39500","29"
"201806","集積所回収","資源プラスチック","212330","2"
