"年度","未就学児[人]","学齢児[人]","18歳以上[人]","不明[人]","合計[人]"
"2017","1464","836","214","18","2532"
"2018","1497","720","263","13","2493"
"2019","1088","906","152","13","2159"
"2020","53","181","596","5","835"
"2021","2","71","894","4","971"

"令和4年度港区行政資料集　発達支援センター発達相談及び発達障害相談者数","Ver202203",,,,
