1,,,(注)男女別の不詳を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,A～S 全産業,,,,A～R 全産業（S公務を除く）,,,,A～B 農林漁業,,A 農業，林業,,01 農業,,02 林業,,B 漁業,,03 漁業（水産養殖業を除く）,,04 水産養殖業,,C～S 非農林漁業,,C～R 非農林漁業（S公務を除く）,,C 鉱業，採石業，砂利採取業,,05 鉱業，採石業，砂利採取業,,D 建設業,,06 総合工事業,,07 職別工事業（設備工事業を除く）,,08 設備工事業,,E 製造業,,09 食料品製造業,,10 飲料・たばこ・飼料製造業,,11 繊維工業,,12 木材・木製品製造業（家具を除く）,,13 家具・装備品製造業,,14 パルプ・紙・紙加工品製造業,,15 印刷・同関連業,,16 化学工業,,17 石油製品・石炭製品製造業,,18 プラスチック製品製造業（別掲を除く）,,19 ゴム製品製造業,,20 なめし革・同製品・毛皮製造業,,21 窯業・土石製品製造業,,22 鉄鋼業,,23 非鉄金属製造業,,24 金属製品製造業,,25 はん用機械器具製造業,,26 生産用機械器具製造業,,27 業務用機械器具製造業,,28 電子部品・デバイス・電子回路製造業,,29 電気機械器具製造業,,30 情報通信機械器具製造業,,31 輸送用機械器具製造業,,32 その他の製造業,,F 電気・ガス・熱供給・水道業,,33 電気業,,34 ガス業,,35 熱供給業,,36 水道業,,G 情報通信業,,37 通信業,,38 放送業,,39 情報サービス業,,40 インターネット附随サービス業,,41 映像・音声・文字情報制作業,,H 運輸業，郵便業,,42 鉄道業,,43 道路旅客運送業,,44 道路貨物運送業,,45 水運業,,46 航空運輸業,,47 倉庫業,,48 運輸に附帯するサービス業,,49 郵便業（信書便事業を含む）,,I 卸売業，小売業,,50 各種商品卸売業,,51 繊維・衣服等卸売業,,52 飲食料品卸売業,,53 建築材料，鉱物・金属材料等卸売業,,54 機械器具卸売業,,55 その他の卸売業,,56 各種商品小売業,,57 織物・衣服・身の回り品小売業,,58 飲食料品小売業,,59 機械器具小売業,,60 その他の小売業,,61 無店舗小売業,,J 金融業，保険業,,62 銀行業,,63 協同組織金融業,,64 貸金業，クレジットカード業等非預金信用機関,,65 金融商品取引業，商品先物取引業,,66 補助的金融業等,,67 保険業（保険媒介代理業，保険サービス業を含む）,,K 不動産業，物品賃貸業,,68 不動産取引業,,69 不動産賃貸業・管理業,,70 物品賃貸業,,L 学術研究，専門・技術サービス業,,71 学術・開発研究機関,,72 専門サービス業（他に分類されないもの）,,73 広告業,,74 技術サービス業（他に分類されないもの）,,M 宿泊業，飲食サービス業,,75 宿泊業,,76 飲食店,,77 持ち帰り・配達飲食サービス業,,N 生活関連サービス業，娯楽業,,78 洗濯・理容・美容・浴場業,,79 その他の生活関連サービス業,,80 娯楽業,,O 教育，学習支援業,,81 学校教育,,82 その他の教育，学習支援業,,P 医療，福祉,,83 医療業,,84 保健衛生,,85 社会保険・社会福祉・介護事業,,Q 複合サービス事業,,86 郵便局,,87 協同組合（他に分類されないもの）,,R サービス業（他に分類されないもの）,,88 廃棄物処理業,,89 自動車整備業,,90 機械等修理業（別掲を除く）,,91 職業紹介・労働者派遣業,,92 その他の事業サービス業,,93 政治・経済・文化団体,,94 宗教,,95 その他のサービス業,,S 公務（他に分類されるものを除く）,,97 国家公務,,98 地方公務,,1～4人,,5～9人,,10～19人,,20～29人,,30人以上,,出向・派遣従業者のみ
3,経営組織,町丁名,事業所数,従業者数(注),(従業者数)男,(従業者数)女,事業所数,従業者数(注),(従業者数)男,(従業者数)女,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数,従業者数,事業所数
4,総数,町田市総数,12663,143349,68790,74499,12605,140342,66701,73581,26,169,26,169,26,169,0,0,0,0,0,0,0,0,12637,143180,12579,140173,1,4,1,4,1166,7246,430,3273,411,2130,325,1843,496,8412,39,1671,1,2,23,174,6,25,12,32,6,160,24,135,13,289,3,12,16,187,4,80,2,3,9,36,1,13,6,66,56,493,18,141,34,589,27,759,53,560,49,677,29,1142,16,371,49,795,5,218,2,69,0,0,0,0,3,149,219,2257,9,237,3,27,149,1766,15,36,43,191,173,5674,5,456,52,1728,89,2529,0,0,0,0,7,119,19,368,1,474,3082,31004,3,32,34,153,87,999,109,671,186,1140,155,1140,10,1360,497,3362,631,10141,336,3124,937,7893,97,989,204,3361,39,1124,7,108,12,79,22,319,4,41,120,1690,1016,5145,261,1412,692,2689,63,1044,688,3418,12,423,330,1259,19,113,327,1623,1578,17140,33,578,1415,14806,130,1756,1224,7561,890,4071,168,1178,166,2312,728,14109,151,10046,577,4063,1322,25333,803,11563,8,110,511,13660,47,893,34,600,13,293,630,8398,25,577,82,387,78,443,47,2100,222,4324,52,215,118,333,6,19,58,3007,6,271,52,2736,6684,14580,2682,17758,1622,21943,680,16237,944,72831,51
5,総数,相原町,376,4228,1927,2301,372,4178,1883,2295,3,14,3,14,3,14,0,0,0,0,0,0,0,0,373,4214,369,4164,0,0,0,0,57,278,18,96,23,100,16,82,16,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,4,0,0,1,9,0,0,0,0,3,7,2,56,1,1,2,7,1,2,1,100,2,5,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,7,31,1,7,4,12,2,12,0,0,0,0,0,0,0,0,0,0,64,577,0,0,0,0,3,18,4,66,3,5,5,20,0,0,3,25,15,209,6,91,24,139,1,4,3,18,1,15,0,0,0,0,0,0,0,0,2,3,46,134,6,21,39,85,1,28,16,49,0,0,6,12,1,1,9,36,35,260,0,0,25,125,10,135,28,227,17,93,7,90,4,44,20,1065,7,907,13,158,44,1149,21,336,0,0,23,813,3,32,2,12,1,20,29,147,3,36,5,12,2,6,1,1,5,60,3,11,10,21,0,0,4,50,0,0,4,50,231,453,61,397,38,485,18,425,28,2468,0
6,総数,旭町１丁目,121,1710,854,856,121,1710,854,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1710,121,1710,0,0,0,0,8,74,5,29,2,33,1,12,7,256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,0,0,0,0,1,69,0,0,2,6,2,61,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,2,32,0,0,2,22,3,83,0,0,1,1,2,82,0,0,0,0,0,0,0,0,0,0,39,570,0,0,0,0,1,15,0,0,3,14,3,9,1,40,3,20,5,174,6,139,16,152,1,7,4,44,1,5,0,0,0,0,0,0,0,0,3,39,6,29,1,3,5,26,0,0,5,24,0,0,4,15,0,0,1,9,12,187,0,0,11,136,1,51,8,32,6,23,2,9,0,0,6,26,1,17,5,9,15,301,13,247,0,0,2,54,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,2,28,1,1,1,1,0,0,0,0,0,0,0,0,51,113,25,177,22,301,10,229,13,890,0
7,総数,旭町２丁目,48,1208,388,820,48,1208,388,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1208,48,1208,0,0,0,0,2,14,1,7,1,7,0,0,2,33,1,30,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,72,0,0,0,0,2,72,0,0,0,0,0,0,0,0,0,0,15,121,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,10,6,69,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,2,8,1,8,2,3,6,10,0,0,6,10,0,0,6,22,4,17,0,0,2,5,2,2,0,0,2,2,5,909,5,909,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,26,51,9,57,7,94,2,50,4,956,0
8,総数,旭町３丁目,53,1912,1484,428,52,1325,940,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1912,52,1325,0,0,0,0,4,17,0,0,1,2,3,15,5,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,2,12,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,5,0,0,0,0,3,636,0,0,1,94,0,0,0,0,0,0,0,0,1,68,1,474,7,33,0,0,0,0,1,13,0,0,3,6,0,0,0,0,0,0,0,0,1,1,1,5,1,8,1,19,1,19,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,5,0,0,10,355,2,328,5,10,0,0,3,17,5,23,0,0,3,12,2,11,5,27,4,8,0,0,1,19,4,30,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,1,1,0,0,0,0,0,0,1,3,1,3,0,0,1,587,0,0,1,587,30,61,6,41,8,103,0,0,9,1707,0
9,総数,大蔵町,226,2328,1245,1083,224,2308,1235,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2328,224,2308,0,0,0,0,30,348,15,62,11,266,4,20,8,46,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,22,3,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,201,0,0,1,113,4,88,0,0,0,0,0,0,0,0,0,0,52,458,0,0,0,0,2,5,2,17,2,9,3,55,0,0,3,10,9,128,16,69,12,104,3,61,2,6,0,0,0,0,0,0,0,0,0,0,2,6,21,54,7,27,14,27,0,0,11,34,0,0,2,6,0,0,9,28,18,272,0,0,16,227,2,45,26,75,21,58,2,2,3,15,8,75,2,65,6,10,31,476,15,130,0,0,16,346,2,243,1,218,1,25,9,19,0,0,1,3,0,0,0,0,2,6,2,5,4,5,0,0,2,20,0,0,2,20,128,275,44,277,25,341,14,342,14,1093,1
10,総数,小川,156,1797,936,846,156,1797,936,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1797,156,1797,0,0,0,0,14,113,9,83,2,16,3,14,10,137,0,0,0,0,2,93,1,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,2,21,1,7,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,54,652,0,0,0,0,3,30,1,4,3,22,1,4,0,0,2,3,7,180,19,178,16,227,2,4,1,18,1,18,0,0,0,0,0,0,0,0,0,0,11,39,4,14,7,25,0,0,4,9,0,0,3,7,0,0,1,2,20,111,0,0,16,60,4,51,16,126,10,90,3,12,3,24,4,47,1,17,3,30,12,411,6,269,0,0,6,142,1,36,0,0,1,36,8,67,1,30,5,33,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,70,153,36,233,28,390,9,232,13,789,0
11,総数,小川１丁目,46,273,99,174,46,273,99,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,273,46,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,1,3,0,0,2,11,0,0,1,2,1,6,1,2,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,2,3,9,15,0,0,1,5,0,0,0,0,0,0,1,5,6,96,0,0,5,53,1,43,5,18,3,12,1,1,1,5,5,25,1,11,4,14,6,61,5,24,0,0,1,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,31,56,9,57,3,35,0,0,3,125,0
12,総数,小川２丁目,50,388,168,220,50,388,168,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,388,50,388,0,0,0,0,4,20,1,3,3,17,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,152,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,6,83,1,9,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,2,3,0,0,4,27,0,0,2,11,0,0,2,16,8,44,0,0,8,44,0,0,5,13,4,12,0,0,1,1,2,66,1,65,1,1,6,38,3,13,0,0,3,25,1,6,0,0,1,6,2,10,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,27,60,14,95,4,60,3,64,2,109,0
