区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,46.2,26.8,22.0,1.3,2.0,1.8
平日今年度,35.6,17.3,16.1,21.9,5.4,3.6
