,H19（％）,H21（％）,H23（％）,H25（％）,H27（％）
小学校,88.3,94.7,94.5,94.6,85.8
中学校,76.0,89.3,88.6,90.1,96.3
高校,7.0,12.0,18.2,26.3,25.6
