区市町村名,学校名,科名,対象,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
目黒,国際,国際,一般生徒,98,56,213,269,2.74
目黒,国際,国際,日本人学校の海外帰国生徒,15,9,29,38,2.53
目黒,国際,国際,外国の学校の海外帰国生徒,25,24,32,56,2.24
目黒,国際,計,,138,89,274,363,2.63
大島,大島海洋国際,海洋国際,,56,66,8,74,1.32
国際計,,,,194,155,282,437,2.25
