区市町村名,学校名,科名,募集人員（男女問わず）(A),応募人員(B)（３月２３日）／男,応募人員(B)（３月２３日）／男／内成人,応募人員(B)（３月２３日）／女,応募人員(B)（３月２３日）／女／内成人,応募人員(B)（３月２３日）／計,応募人員(B)（３月２３日）／計／内成人,応募倍率(B/A)
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,15,0,0,1,0,1,0,0.07
文京,工芸,ｱｰﾄｸﾗﾌﾄ,8,1,0,3,0,4,0,0.50
文京,工芸,ｲﾝﾃﾘｱ,16,4,0,1,0,5,0,0.31
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,6,1,0,4,0,5,0,0.83
文京,工芸,計,45,6,0,9,0,15,0,0.33
台東,蔵前工業,建築工学,22,4,0,0,0,4,0,0.18
江東,墨田工業,総合技術,10,8,0,0,0,8,0,0.80
世田谷,総合工科,総合技術,25,4,0,0,0,4,0,0.16
中野,中野工業,総合技術,21,4,0,0,0,4,0,0.19
荒川,荒川工業,電気・電子,21,14,0,0,0,14,0,0.67
板橋,北豊島工業,機械,20,4,0,0,0,4,0,0.20
葛飾,本所工業,総合技術,20,7,0,0,0,7,0,0.35
区部計,,,184,51,0,9,0,60,0,0.33
小金井,小金井工業,機械,8,4,0,0,0,4,0,0.50
小金井,小金井工業,電気・電子,22,6,0,0,0,6,0,0.27
小金井,小金井工業,計,30,10,0,0,0,10,0,0.33
多摩部計,,,30,10,0,0,0,10,0,0.33
工業計,,,214,61,0,9,0,70,0,0.33
