点数,度数（名）,割合（％）,群（％）,
0,37,1.3,,
1,32,1.1,,
2,73,2.6,,
3,90,3.2,,
4,155,5.5,,
低群　0／1／2／3／4,,,13.7,
5,221,7.8,,
6,308,10.9,,
7,342,12.1,,
8,337,11.9,,
9,379,13.4,,
10,290,10.3,,
11,205,7.3,,
中位群　5／6／7／8／9／10／11　,,,73.7,
12,168,5.9,,
13,82,2.7,,
14,44,1.6,,
15,61,2.2,,
高群　12／13／14／15,,,12.6,
計,2824,100.0,100.0,
