区分,小学校,中学校,合計,,,,,,,,,,,,,,,
東京都設置学校数,378,182,560,,,,,,,,,,,,,,,
東京都全学校数,1353,652,2005,,,,,,,,,,,,,,,
東京都担当教員数,816,427,1243,,,,,,,,,,,,,,,
東京都うち免許状保有者数,236,132,368,,,,,,,,,,,,,,,
東京都免許状保有割合(%),28.92,30.91,29.61,,,,,,,,,,,,,,,
全国設置学校数,12846,6131,18977,,,,,,,,,,,,,,,
全国全学校数,23068,10316,33384,,,,,,,,,,,,,,,
全国担当教員数,21459,9817,31276,,,,,,,,,,,,,,,
全国うち免許状保有者数,6250,2434,8684,,,,,,,,,,,,,,,
全国免許状保有割合(%),29.13,24.79,27.77,,,,,,,,,,,,,,,
