区市町村名,学校名,科名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,25,20,11,31,1.24
文京,工芸,ｱｰﾄｸﾗﾌﾄ,25,3,30,33,1.32
文京,工芸,ｲﾝﾃﾘｱ,25,15,21,36,1.44
文京,工芸,ﾃﾞｻﾞｲﾝ,25,10,29,39,1.56
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,7,25,32,1.28
文京,工芸,計,125,55,116,171,1.37
台東,蔵前工業,機械,46,45,0,45,0.98
台東,蔵前工業,電気,25,34,0,34,1.36
台東,蔵前工業,建築,22,26,5,31,1.41
台東,蔵前工業,設備工業,25,28,0,28,1.12
台東,蔵前工業,計,118,133,5,138,1.17
江東,墨田工業,機械,25,26,1,27,1.08
江東,墨田工業,自動車,25,38,3,41,1.64
江東,墨田工業,電気,49,53,1,54,1.10
江東,墨田工業,建築,25,38,1,39,1.56
江東,墨田工業,計,124,155,6,161,1.30
世田谷,総合工科,機械・自動車,49,53,0,53,1.08
世田谷,総合工科,電気・情報ﾃﾞｻﾞｲﾝ,49,29,5,34,0.69
世田谷,総合工科,建築・都市工学,49,37,5,42,0.86
世田谷,総合工科,計,147,119,10,129,0.88
中野,中野工業,総合技術,123,88,28,116,0.94
杉並,杉並工業,機械,49,33,0,33,0.67
杉並,杉並工業,電子,49,47,1,48,0.98
杉並,杉並工業,理工環境,25,13,3,16,0.64
杉並,杉並工業,計,123,93,4,97,0.79
荒川,荒川工業,電気,49,65,1,66,1.35
荒川,荒川工業,電子,25,23,3,26,1.04
荒川,荒川工業,情報技術,49,48,1,49,1.00
荒川,荒川工業,計,123,136,5,141,1.15
板橋,北豊島工業,総合技術,123,94,12,106,0.86
練馬,練馬工業,ｷｬﾘｱ技術,71,100,16,116,1.63
足立,足立工業,総合技術,123,108,3,111,0.90
江戸川,葛西工業,機械,49,92,2,94,1.92
江戸川,葛西工業,電子,25,44,3,47,1.88
江戸川,葛西工業,建築,49,67,16,83,1.69
江戸川,葛西工業,計,123,203,21,224,1.82
府中,府中工業,機械,25,39,1,40,1.60
府中,府中工業,電気,49,74,0,74,1.51
府中,府中工業,情報技術,25,54,0,54,2.16
府中,府中工業,工業技術,25,26,1,27,1.08
府中,府中工業,計,124,193,2,195,1.57
町田,町田工業,総合情報,123,129,22,151,1.23
福生,多摩工業,機械,49,81,2,83,1.69
福生,多摩工業,電気,49,54,1,55,1.12
福生,多摩工業,環境化学,25,36,4,40,1.60
福生,多摩工業,計,123,171,7,178,1.45
西東京,田無工業,機械,49,55,0,55,1.12
西東京,田無工業,建築,49,59,8,67,1.37
西東京,田無工業,都市工学,25,32,0,32,1.28
西東京,田無工業,計,123,146,8,154,1.25
工業計,,,1816,1923,265,2188,1.20
