区分,,平成19年度（20年度異動）,平成20年度（21年度異動）,平成21年度（22年度異動）
応募者数（人）,,63,80,93
配置数（人）,進学指導重点校・進学指導特別推進校からの異動者数,12,16,19
配置数（人）,進学指導推進校等進学関係校からの異動者数,11,10,8
配置数（人）,その他,12,15,27
配置数（人）,計,35,41,54
