,よくある,時々ある,ない,N（人）
中３,18.5,40.5,41.0,389
中２,20.9,42.9,36.2,383
中１,25.3,44.1,30.6,382
小６,31.6,35.5,33.0,412
小５,29.7,42.8,27.5,384
合計,25.3,41.0,33.7,1950
