区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,入学手続人員／男,入学手続人員／女,入学手続人員／計
千代田,一橋,普通科１部,１学年相当,36,12,24,36
千代田,一橋,普通科１部,２学年相当以上,6,0,0,0
千代田,一橋,普通科２部,１学年相当,36,18,18,36
千代田,一橋,普通科２部,２学年相当以上,6,0,0,0
千代田,一橋,普通科３部,１学年相当,24,12,12,24
千代田,一橋,普通科３部,２学年相当以上,3,0,0,0
千代田,一橋,計,１学年相当計,96,42,54,96
千代田,一橋,計,２学年相当以上計,15,0,0,0
千代田,一橋,計,計,111,42,54,96
台東,浅草,普通科１部,１学年相当,36,11,25,36
台東,浅草,普通科１部,２学年相当以上,5,0,0,0
台東,浅草,普通科２部,１学年相当,36,12,24,36
台東,浅草,普通科２部,２学年相当以上,5,0,0,0
台東,浅草,普通科３部,１学年相当,24,8,16,24
台東,浅草,普通科３部,２学年相当以上,5,0,2,2
台東,浅草,計,１学年相当計,96,31,65,96
台東,浅草,計,２学年相当以上計,15,0,2,2
台東,浅草,計,計,111,31,67,98
杉並,荻窪,普通科１部,１学年相当,36,11,25,36
杉並,荻窪,普通科１部,２学年相当以上,6,0,0,0
杉並,荻窪,普通科２部,１学年相当,36,8,27,35
杉並,荻窪,普通科２部,２学年相当以上,6,0,0,0
杉並,荻窪,普通科３部,１学年相当,24,16,8,24
杉並,荻窪,普通科３部,２学年相当以上,3,0,1,1
杉並,荻窪,計,１学年相当計,96,35,60,95
杉並,荻窪,計,２学年相当以上計,15,0,1,1
杉並,荻窪,計,計,111,35,61,96
八王子,八王子拓真,普通科１部,１学年相当,36,12,24,36
八王子,八王子拓真,普通科１部,２学年相当以上,6,1,0,1
八王子,八王子拓真,普通科２部,１学年相当,36,12,24,36
八王子,八王子拓真,普通科２部,２学年相当以上,6,0,0,0
八王子,八王子拓真,普通科３部,１学年相当,24,13,11,24
八王子,八王子拓真,普通科３部,２学年相当以上,3,0,0,0
八王子,八王子拓真,計,１学年相当計,96,37,59,96
八王子,八王子拓真,計,２学年相当以上計,15,1,0,1
八王子,八王子拓真,計,計,111,38,59,97
立川,砂川,普通科１～３部,１学年相当,120,46,73,119
立川,砂川,普通科１～３部,２学年相当以上,15,0,1,1
立川,砂川,普通科１～３部,計,135,46,74,120
定時制課程単位制計,,,１学年相当計,504,191,311,502
定時制課程単位制計,,,２学年相当以上計,75,1,4,5
定時制課程単位制計,,,計,579,192,315,507
