区分,解錠,施錠
0.教職員校長,1,0
0.教職員副校長,4,4
0.教職員規定なし,10,16
1.時間内の担当と同じ,12,15
2.その他,1,0
3.教委として定めていない,10,10
4.時間外の解・施錠は認めていない,0,2
