対処法,解消した,どちらともいえない,解消しなかった
抑制的な対処,23.5,19.4,57.1
ほどほどの対処,47.2,18.7,34.1
攻撃的な対処,39.6,20.5,39.9
不明,33.3,26.5,40.2
