点数,度数（名）,割合（％）,群（％）
0,0,0.0,
1,0,0.0,
2,0,0.0,
3,0,0.0,
4,0,0.0,
低群　0／1／2／3／4,,,0.0
5,1,1.4,
6,3,4.1,
7,4,5.4,
8,7,9.5,
9,9,12.2,
10,4,5.4,
11,9,12.2,
中位群　5／6／7／8／9／10／11　,,,50.0
12,13,17.6,
13,9,12.2,
14,7,9.5,
15,8,10.8,
高群　12／13／14／15,,,50.0
計,74,100.0,100.0
