新聞名,開架期間,原紙保存期間,備考
The Japan News,3ヵ月,4年,
Financial Times,3ヵ月,4年,
The New York Times International Edition,3ヵ月,4年,
Izvestia（ИЗВЕСТИЯ）,3ヵ月,4年,
The Japan Times ◆,3ヵ月,縮刷版が入るまで,縮刷版あり
Le Monde,3ヵ月,4年,
The New York Times,3ヵ月,マイクロフィルムが入るまで,マイクロフィルムあり
El Pais,3ヵ月,4年,
The Straits Times,3ヵ月,4年,
The Times,3ヵ月,マイクロフィルムが入るまで,マイクロフィルムあり
The Wall Street Journal,3ヵ月,4年,
The Washington Post,3ヵ月,マイクロフィルムが入るまで,マイクロフィルムあり
Die Zeit,3ヵ月,4年,
光明日報,3ヵ月,4年,
人民日報,3ヵ月,縮刷版が入るまで,縮刷版あり
人民日報 海外版,4ヵ月,4年,
朝鮮日報（日本版）,3ヵ月,4年,
東亜日報（日本版）,3ヵ月,4年,
民族時報,1年,4年,
