,対回答者割合（%）
児童・生徒とかかわる時間が減るから,56
自らの教育理念や力量が管理職として不十分と考えるから,41
精神的なストレスが多いから,33
勤務の時間的な拘束が長くなるから,32
今の制度では、管理職の教育理念で学校経営ができるとは思わないから,20
主幹として学校運営に貢献することができるから,11
現在の管理職選考が自分にとって向かないと考えるから,11
家族に強く反対されているから,9
給与などの処遇面が、職務内容や職責の実態に見合わないから,8
部下となる教員を指導・監督することが大変そうだから,4
Ａ選考は指導主事にならなければいけないから,4
同僚との関係が受験することで悪くなるのではないかと考えるから,4
Ａ選考は、研修期間が長いから,3
Ｂ選考の受験年齢まで待っているから,2
副校長に昇任する年齢が若すぎると考えるから,2
その他,7
