区市町村名,学校名,科名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
台東,忍岡,生活科学,49,2,76,78,1.59
単位制計,,,49,2,76,78,1.59
