区市町村名,学校名,科名,募集人員（男女問わず）,入学手続人員／男,入学手続人員／女,入学手続人員／計
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,25,14,11,25
文京,工芸,ｱｰﾄｸﾗﾌﾄ,25,4,23,27
文京,工芸,ｲﾝﾃﾘｱ,25,8,18,26
文京,工芸,ﾃﾞｻﾞｲﾝ,25,6,20,26
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,4,21,25
文京,工芸,計,125,36,93,129
台東,蔵前工業,機械,46,45,1,46
台東,蔵前工業,電気,25,25,0,25
台東,蔵前工業,建築,22,18,4,22
台東,蔵前工業,設備工業,25,25,0,25
台東,蔵前工業,計,118,113,5,118
江東,墨田工業,機械,25,25,1,26
江東,墨田工業,自動車,25,24,2,26
江東,墨田工業,電気,49,49,1,50
江東,墨田工業,建築,25,26,0,26
江東,墨田工業,計,124,124,4,128
世田谷,総合工科,機械・自動車,49,49,0,49
世田谷,総合工科,電気・情報ﾃﾞｻﾞｲﾝ,49,44,5,49
世田谷,総合工科,建築・都市工学,49,42,7,49
世田谷,総合工科,計,147,135,12,147
中野,中野工業,総合技術,123,93,30,123
杉並,杉並工業,機械,49,50,0,50
杉並,杉並工業,電子,49,49,1,50
杉並,杉並工業,理工環境,25,23,3,26
杉並,杉並工業,計,123,122,4,126
荒川,荒川工業,電気,49,50,0,50
荒川,荒川工業,電子,25,24,2,26
荒川,荒川工業,情報技術,49,50,0,50
荒川,荒川工業,計,123,124,2,126
板橋,北豊島工業,総合技術,123,99,12,111
練馬,練馬工業,ｷｬﾘｱ技術,71,59,12,71
足立,足立工業,総合技術,123,118,3,121
江戸川,葛西工業,機械,49,47,3,50
江戸川,葛西工業,電子,25,24,2,26
江戸川,葛西工業,建築,49,42,7,49
江戸川,葛西工業,計,123,113,12,125
府中,府中工業,機械,25,24,1,25
府中,府中工業,電気,49,49,0,49
府中,府中工業,情報技術,25,24,1,25
府中,府中工業,工業技術,25,23,2,25
府中,府中工業,計,124,120,4,124
町田,町田工業,総合情報,123,107,18,125
福生,多摩工業,機械,49,49,1,50
福生,多摩工業,電気,49,50,0,50
福生,多摩工業,環境化学,25,24,2,26
福生,多摩工業,計,123,123,3,126
西東京,田無工業,機械,49,47,1,48
西東京,田無工業,建築,49,42,7,49
西東京,田無工業,都市工学,25,25,0,25
西東京,田無工業,計,123,114,8,122
工業計,,,1816,1600,222,1822
