,平成１８年度,平成１９年度,平成２０年度
有資格者数（人）,20276,19565,5872
応募者数 ａ（人）,868,741,578
合格予定者数ｂ（人）,290,360,385
倍率 ａ／ｂ（倍）,3.0,2.1,1.5
注）応募者数については、平成１９年度及び平成２０年度は当初申し込み時点での人数である。,,,
注）実際の合格者数は、合格予定者数と若干名異なる。,,,
注）平成２０年度に有資格者が減少しているのは、受験要件を「現に主幹教諭である者」に変更したため。,,,
