区市町村名,学校名,コース名,募集人員(男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
江東,深川,外国語,56,28,94,122,2.18
練馬,田柄,外国文化,29,9,17,26,0.90
八王子,片倉,造形美術,56,22,49,71,1.27
八王子,松が谷,外国語,56,31,77,108,1.93
小平,小平,外国語,56,17,100,117,2.09
あきる野,五日市,ことばと情報,55,26,23,49,0.89
コース制計,,,308,133,360,493,1.60
