,平均冊数（冊）
全体,7.1
小１,14.7
小２,13.7
小３,10.4
小４,9.3
小５,7.2
小６,5.9
中１,4.8
中２,4.5
中３,4.0
高１,3.6
高２,3.5
高３,4.4
高４,7.7
