,発達障害と考えられる児童・生徒数a(人),固定学級相当の指導が必要と考えられる児童・生徒数ｂ(人),割合c=b/a(%),固定学級利用児童・生徒数d※(人),備考
小学校,33661,-,-,275,
中学校,11326,1346,11.9,212,
,,,,,※d欄…公立学校統計(各調査年5月1日現在)の数
