区市町村名,学校名,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)／男,最終応募倍率(B/A)／女,最終応募倍率(B/A)／計
大島,大島,40,40,80,17,15,32,0.43,0.38,0.40
新島,新島,20,20,40,9,8,17,0.45,0.40,0.43
神津島,神津,20,20,40,12,3,15,0.60,0.15,0.38
三宅,三宅,20,20,40,3,1,4,0.15,0.05,0.10
八丈,八丈,60,60,120,16,13,29,0.27,0.22,0.24
小笠原,小笠原,15,15,30,8,8,16,0.53,0.53,0.53
島しょ計,,175,175,350,65,48,113,0.37,0.27,0.32
