,24,25,26
公立高校数(校),195,194,194
個別指導計画の作成が必要な生徒がいる学校のうち、作成済みの学校(％),48.2,51.8,47.1
個別の教育支援計画の作成が必要な生徒がいる学校のうち、作成済みの学校(％),37.7,46.2,39.1
