区市町村名,学校名,コース名,募集人員(男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
江東,深川,外国語,56,29,93,122,2.18
練馬,田柄,外国文化,29,11,23,34,1.17
八王子,片倉,造形美術,56,23,48,71,1.27
八王子,松が谷,外国語,56,29,71,100,1.79
小平,小平,外国語,56,15,88,103,1.84
あきる野,五日市,ことばと情報,55,38,30,68,1.24
コース制計,,,308,145,353,498,1.62
