,,該当する（％）,該当しない（％）
蔵書の充実,合計,85.3,14.7
蔵書の充実,小学校,86.7,13.3
蔵書の充実,中学校,84.4,15.8
蔵書の充実,高校,81.4,18.6
選書・図書整理のノウハウ,合計,62.7,37.6
選書・図書整理のノウハウ,小学校,65.5,34.5
選書・図書整理のノウハウ,中学校,62.9,38.3
選書・図書整理のノウハウ,高校,49.1,50.9
目録のオンライン化,合計,46.8,53.5
目録のオンライン化,小学校,47.7,52.3
目録のオンライン化,中学校,51.1,50.1
目録のオンライン化,高校,32.6,67.4
