,平成１７年度,平成１８年度,平成１９年度
有資格者数A（人）,26095,27428,26456
受験者数B（人）,744,577,641
受験率(B/A)（％）,2.9,2.1,2.4
合格者数C（人）,680,532,605
倍率(B/C)（倍）,1.1,1.1,1.1
