,毎日している,よくしている,めったにない,まったくない,N（人）,,,,,,,
中３,23.5,42.1,29.5,4.9,389,,,,,,,
中２,14.4,36.1,36.4,13.1,383,,,,,,,
中１,7.9,23.6,40.9,27.6,382,,,,,,,
小６,2.7,13.1,40.8,43.4,412,,,,,,,
小５,2.6,12.5,33.7,51.2,384,,,,,,,
合計,10.1,25.3,36.3,28.2,1950,,,,,,,
