番号,回答内容,区市町村合計
1,絵本コーナー等、子供が本を手に取れる環境の整備,43
2,読み聞かせやブックトーク、お話会などの実施,49
3,保護者への子供の読書に関する啓発,44
4,その他,5
注）複数回答可,,
