,H19（％）,H21（％）,H23（％）,H24（％）,H25（％）,H26（％）,H27（％）
小,4.5,5.4,6.2,4.5,5.3,3.8,4.8
中,14.6,13.2,16.2,16.4,16.9,15.0,13.4
高,47.9,47.0,50.8,53.2,45.0,48.7,51.9
注）学校読書調査報告（全国学校図書館協議会）,,,,,,,
