エリア区市町村,センター校,No.,,,,,
千代田区,江東養護学校,1,,,,,
中央区,江東養護学校,1,,,,,
江東区,江東養護学校,1,,,,,
港区,港養護学校,2,,,,,
品川区,港養護学校,2,,,,,
目黒区,港養護学校,2,,,,,
渋谷区,港養護学校,2,,,,,
新宿区,中野養護学校,3,,,,,
中野区,中野養護学校,3,,,,,
文京区,王子第二養護学校,4,,,,,
北区,王子第二養護学校,4,,,,,
世田谷区,青鳥養護学校久我山分校,5,,,,,
杉並区,済美養護学校（区立）,6,,,,,
豊島区,高島養護学校,7,,,,,
板橋区,高島養護学校,7,,,,,
台東区,墨田養護学校,8,,,,,
墨田区,墨田養護学校,8,,,,,
荒川区,墨田養護学校,8,,,,,
大田区,矢口養護学校,9,,,,,
練馬区,石神井養護学校,10,,,,,
足立区,南花畑養護学校,11,,,,,
葛飾区,水元養護学校,12,,,,,
江戸川区,小岩・白鷺養護学校,13,,,,,
東村山市,清瀬養護学校,14,,,,,
清瀬市,清瀬養護学校,14,,,,,
東久留米市,清瀬養護学校,14,,,,,
武蔵野市,小金井養護学校,15,,,,,
小金井市,小金井養護学校,15,,,,,
小平市,小金井養護学校,15,,,,,
西東京市,小金井養護学校,15,,,,,
三鷹市,調布養護学校,16,,,,,
府中市,調布養護学校,16,,,,,
調布市,調布養護学校,16,,,,,
狛江市,調布養護学校,16,,,,,
立川市,武蔵台養護学校,17,,,,,
国分寺市,武蔵台養護学校,17,,,,,
国立市,武蔵台養護学校,17,,,,,
青梅市,羽村養護学校,18,,,,,
福生市,羽村養護学校,18,,,,,
東大和市,羽村養護学校,18,,,,,
武蔵村山市,羽村養護学校,18,,,,,
羽村市,羽村養護学校,18,,,,,
瑞穂町,羽村養護学校,18,,,,,
奥多摩町,羽村養護学校,18,,,,,
昭島市,あきる野学園養護学校,19,,,,,
あきる野市,あきる野学園養護学校,19,,,,,
日の出町,あきる野学園養護学校,19,,,,,
檜原村,あきる野学園養護学校,19,,,,,
日野市,七生養護学校,20,,,,,
八王子市,八王子養護学校,21,,,,,
多摩市,南大沢学園養護学校,22,,,,,
稲城市,南大沢学園養護学校,22,,,,,
町田市,町田養護学校,23,,,,,
島しょ地区,都教育委員会直轄,24,,,,,
