区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
江東,科学技術,科学技術,147,220,24,244,1.66
小金井,多摩科学技術,科学技術,147,227,41,268,1.82
科学技術科計,,,294,447,65,512,1.74
