区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,43.2,21.4,7.8,21.6,0.0,5.9
平日今年度,58.6,27.2,3.2,5.5,2.1,3.4
