区市町村名,学校名,科名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
江東,科学技術,科学技術,147,213,25,238,1.62
小金井,多摩科学技術,科学技術,147,231,40,271,1.84
科学技術科計,,,294,444,65,509,1.73
