区市町村名,学校名,科名（分野）,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
墨田,橘,産業,147,89,118,207,1.41
八王子,八王子桑志,ﾃﾞｻﾞｲﾝ分野,49,14,69,83,1.69
八王子,八王子桑志,ｸﾗﾌﾄ分野,25,31,10,41,1.64
八王子,八王子桑志,ｼｽﾃﾑ情報分野,25,47,7,54,2.16
八王子,八王子桑志,ﾋﾞｼﾞﾈｽ情報分野,49,31,30,61,1.24
八王子,八王子桑志,計,148,123,116,239,1.61
産業科計,,,295,212,234,446,1.51
