区市町村名,学校名,科名（分野）,募集人員（男女問わず）,入学手続人員／男,入学手続人員／女,入学手続人員／計
墨田,橘,産業,147,60,89,149
八王子,八王子桑志,ﾃﾞｻﾞｲﾝ分野,49,8,42,50
八王子,八王子桑志,ｸﾗﾌﾄ分野,25,22,4,26
八王子,八王子桑志,ｼｽﾃﾑ情報分野,25,26,1,27
八王子,八王子桑志,ﾋﾞｼﾞﾈｽ情報分野,49,26,23,49
八王子,八王子桑志,計,148,82,70,152
産業科計,,,295,142,159,301
