平日１日当たりの業務時間,学校数,昨年度調査実務(分),今年度調査実務(分),昨年度広報業務(分),今年度広報業務(分),昨年度業者対応(分),今年度業者対応(分),昨年度人材育成(分),今年度人材育成(分)
経営支援部設置,3,55,33,17,2,15,15,9,46
経営支援機能強化,7,89,55,22,17,16,13,28,30
経営専任主幹の配置,3,38,59,37,17,15,15,11,39
専任支援職員の配置,6,83,49,15,11,16,9,32,23
上記のどれも実施せず,5,40,32,19,14,17,26,43,48
