学科・区分,,,校数,延学校数,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,取下げ人員(B)／男,取下げ人員(B)／女,取下げ人員(B)／計,再提出人員(C)／男,再提出人員(C)／女,再提出人員(C)／計,最終応募人員(D)／男,最終応募人員(D)／女,最終応募人員(D)／計,最終応募倍率(E=D/A)／男,最終応募倍率(E=D/A)／女,最終応募倍率(E=D/A)／計
全日制,"普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,29,11422,10502,21924,1356,1034,2390,1311,994,2305,17932,16611,34543,1.57,1.58,1.58
全日制,"普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,28,11468,10434,21902,1480,1371,2851,1400,1199,2599,17873,16918,34791,1.56,1.62,1.59
全日制,"普
通
科",普通科(島しょ)計,6,,29,175,175,350,0,0,0,0,0,0,65,48,113,0.37,0.27,0.32
全日制,"普
通
科",普通科(島しょ)計,6,,28,175,175,350,0,0,0,0,0,0,50,67,117,0.29,0.38,0.33
全日制,"普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外）計,112,,29,11597,10677,22274,1356,1034,2390,1311,994,2305,17997,16659,34656,1.55,1.56,1.56
全日制,"普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外）計,112,,28,11643,10609,22252,1480,1371,2851,1400,1199,2599,17923,16985,34908,1.54,1.60,1.57
全日制,"普
通
科",ｺｰｽ制計,1,6,29,,,308,7,28,35,19,21,40,145,353,498,,,1.62
全日制,"普
通
科",ｺｰｽ制計,1,6,28,,,308,14,20,34,10,27,37,120,338,458,,,1.49
全日制,"普
通
科",単位制計,11,,29,,,2242,114,92,206,99,89,188,1461,1969,3430,,,1.53
全日制,"普
通
科",単位制計,11,,28,,,2210,118,109,227,93,130,223,1474,1935,3409,,,1.54
全日制,"普
通
科",海外帰国生徒対象計,0,7,29,,,68,1,0,1,1,0,1,41,42,83,,,1.22
全日制,"普
通
科",海外帰国生徒対象計,0,7,28,,,68,4,2,6,3,1,4,51,30,81,,,1.19
全日制,"普
通
科",普通科合計,124,,29,,,24892,1478,1154,2632,1430,1104,2534,19644,19023,38667,,,1.55
全日制,"普
通
科",普通科合計,124,,28,,,24838,1616,1502,3118,1506,1357,2863,19568,19288,38856,,,1.56
全日制,"専
門
学
科",商業科,9,10,29,,,1481,42,37,79,77,89,166,665,1050,1715,,,1.16
全日制,"専
門
学
科",商業科,9,10,28,,,1484,35,25,60,110,160,270,730,1066,1796,,,1.21
全日制,"専
門
学
科",ビジネスコミュニケーション科,2,,29,,,294,4,8,12,5,5,10,156,229,385,,,1.31
全日制,"専
門
学
科",ビジネスコミュニケーション科,2,,28,,,294,26,24,50,6,18,24,143,241,384,,,1.31
全日制,"専
門
学
科",工業科(単位制以外),15,,29,,,1816,109,5,114,132,13,145,1961,274,2235,,,1.23
全日制,"専
門
学
科",工業科(単位制以外),15,,28,,,1814,112,7,119,162,14,176,1845,286,2131,,,1.17
全日制,"専
門
学
科",工業科（単位制）,1,,29,,,149,9,1,10,8,1,9,150,27,177,,,1.19
全日制,"専
門
学
科",工業科（単位制）,1,,28,,,149,5,0,5,9,3,12,131,24,155,,,1.04
全日制,"専
門
学
科",科学技術科,2,,29,,,294,17,3,20,12,2,14,447,65,512,,,1.74
全日制,"専
門
学
科",科学技術科,2,,28,,,294,17,3,20,7,1,8,438,74,512,,,1.74
全日制,"専
門
学
科",農業科,5,,29,,,446,12,11,23,17,18,35,264,352,616,,,1.38
全日制,"専
門
学
科",農業科,5,,28,,,446,13,13,26,12,15,27,255,331,586,,,1.31
全日制,"専
門
学
科",家庭科(単位制以外),0,2,29,,,99,5,10,15,1,4,5,13,134,147,,,1.48
全日制,"専
門
学
科",家庭科(単位制以外),0,2,28,,,99,0,3,3,4,15,19,23,92,115,,,1.16
全日制,"専
門
学
科",家庭科（単位制）,0,1,29,,,49,1,9,10,0,1,1,1,68,69,,,1.41
全日制,"専
門
学
科",家庭科（単位制）,0,1,28,,,49,0,1,1,0,10,10,0,53,53,,,1.08
全日制,"専
門
学
科",福祉科,0,1,29,,,25,0,0,0,0,0,0,14,18,32,,,1.28
全日制,"専
門
学
科",福祉科,0,1,28,,,25,0,0,0,1,1,2,12,13,25,,,1.00
全日制,"専
門
学
科",芸術科,1,,29,,,112,0,4,4,0,0,0,44,211,255,,,2.28
全日制,"専
門
学
科",芸術科,1,,28,,,112,0,2,2,0,0,0,40,201,241,,,2.15
