,合計,小１,小２,小３,小４,小５,小６,中１,中２,中３,高１,高２,高３,高４
身近な人(家族・先生・友達)に本を読んでもらったことがある。（％）,47.7,87.1,86.7,78.3,65.2,58.2,59.9,51.7,43.6,46.6,47.4,40.4,41.6,46.2
身近な人に本を読んであげることがある。（％）,20.7,55.0,54.2,43.2,28.9,24.4,26.3,25.3,20.9,20.3,20.9,15.3,14.7,20.5
身近な人と一緒に図書館や書店に行くことがある。（％）,41.4,63.3,61.6,58.7,53.6,55.7,56.7,50.8,46.3,45.0,45.3,32.3,36.3,35.9
身近な人と本の話をすることがある。（％）,30.0,44.2,40.0,33.7,32.8,31.8,34.5,27.5,27.0,29.2,32.5,29.0,32.6,30.8
家の中に本がある。（％）,85.4,87.9,90.8,93.0,89.8,90.2,91.8,89.7,87.4,87.6,84.4,82.0,82.1,71.8
学級文庫を利用している。（％）,16.2,68.3,71.7,57.2,42.6,33.9,33.7,22.6,22.9,15.5,4.8,4.0,6.3,5.1
どれもあてはまらない。（％）,5.3,2.1,1.3,2.2,2.5,2.5,2.0,2.8,5.4,4.5,4.8,7.1,6.3,7.7
無回答（％）,3.9,1.7,1.1,0.7,1.5,1.4,1.1,2.8,2.3,2.9,6.9,5.3,7.8,2.6
注）複数回答可,,,,,,,,,,,,,,
