学校名,固定学級（知的障害）,総設置学級数,総学級数に占める割合(%)
区部Ｍ中,4,10,40.0
区部Ｎ中,4,15,26.7
区部Ｏ中,4,16,25.0
区部Ｐ中,4,10,40.0
区部Ｑ中,4,22,18.2
区部Ｒ中,4,12,33.3
区部Ｓ中,4,20,20.0
区部Ｔ中,4,21,19.0
