年度（平成）,そう思う。（％）,どちらかと言えばそう思う。（％）,どちらかと言えばそう思わない。（％）,そう思わない。（％）
26,4.0,18.0,50.0,28.0
27,9.6,44.0,38.5,7.7
28,17.3,40.4,36.5,5.8
注）回答数53,,,,
