,あった（％）,ない（％）,無回答（％）
全体,17.3,78.6,4.1
小１,12.9,81.1,6.0
小２,11.9,81.3,6.8
小３,13.2,79.7,7.1
小４,14.9,83.3,1.8
小５,14.9,82.8,2.3
小６,15.9,81.9,2.1
中１,15.0,82.1,2.9
中２,17.4,79.9,2.7
中３,21.1,76.4,2.5
高１,24.1,72.5,3.4
高２,22.0,73.7,4.4
高３,23.5,70.8,5.7
高４,35.1,57.9,7.0
