区市町村名,学校名,科名,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
世田谷,園芸,園芸,49,22,26,48,0.98
世田谷,園芸,食品,25,17,31,48,1.92
世田谷,園芸,動物,25,21,55,76,3.04
世田谷,園芸,計,99,60,112,172,1.74
杉並,農芸,園芸科学,25,17,16,33,1.32
杉並,農芸,食品科学,49,22,47,69,1.41
杉並,農芸,緑地環境,25,15,6,21,0.84
杉並,農芸,計,99,54,69,123,1.24
葛飾,農産,園芸ﾃﾞｻﾞｲﾝ,49,39,33,72,1.47
葛飾,農産,食品,49,21,37,58,1.18
葛飾,農産,計,98,60,70,130,1.33
府中,農業,都市園芸,25,19,22,41,1.64
府中,農業,食品科学,25,12,17,29,1.16
府中,農業,緑地計画,25,24,11,35,1.40
府中,農業,計,75,55,50,105,1.40
瑞穂,瑞穂農芸,園芸科学,25,10,8,18,0.72
瑞穂,瑞穂農芸,畜産科学,25,8,21,29,1.16
瑞穂,瑞穂農芸,食品,25,12,15,27,1.08
瑞穂,瑞穂農芸,計,75,30,44,74,0.99
農業計,,,446,259,345,604,1.35
