,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26
小(通級)(人),1777,,,,,,,,,6209
中(通級)(人),499,,,,,,,,,1706
小(固定)(人),111,,,,,,,,,275
中(固定)(人),51,,,,,,,,,214
