,年度（平成）,,26,27,28,
【全体】（Ａ、Ｂ、Ｃ選考）,合格者必要数【ａ】（人）,,439,450,572,
【全体】（Ａ、Ｂ、Ｃ選考）,受験者数【ｂ】（人）,,439,383,450,
【全体】（Ａ、Ｂ、Ｃ選考）,,(女性),(123),(118),(125),
【全体】（Ａ、Ｂ、Ｃ選考）,合格者数【ｃ】（人）,,386,336,418,
【全体】（Ａ、Ｂ、Ｃ選考）,,(女性),(106),(103),(116),
【全体】（Ａ、Ｂ、Ｃ選考）,不足数【ｃ-ａ】（人）,,△ 53,△ 114,△ 154,
【Ｂ選考】,合格者必要数【ａ】（人）,,300,325,360,
【Ｂ選考】,有資格者数【ｂ】（人）,,2310,2245,2245,
【Ｂ選考】,,(女性),(824),(817),(816),
【Ｂ選考】,受験者数【ｃ】（人）,,288,271,277,
【Ｂ選考】,,(女性),(79),(78),(72),
【Ｂ選考】,合格者数【ｄ】（人）,,261,242,259,
【Ｂ選考】,,(女性),(71),(70),(67),
【Ｂ選考】,不足数【ｄ-ａ】（人）,,△ 39,△ 83,△ 101,
【Ｂ選考】,受験率【ｃ／ｂ】（%）,<全体>,12.5,12.1,12.3,
【Ｂ選考】,受験率【ｃ／ｂ】（%）,<男性>,14.1,13.5,14.3,
【Ｂ選考】,受験率【ｃ／ｂ】（%）,<女性>,9.6,9.5,8.8,
注）括弧内は女性（内数）,,,,,,
