区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
港,六本木,総合学科１～３部,１学年相当,140,115,151,266,58,87,145
港,六本木,総合学科１～３部,２学年相当以上,15,3,2,5,0,1,1
港,六本木,総合学科１～３部,計,155,118,153,271,58,88,146
江東,大江戸,総合学科１～３部,１学年相当,140,160,132,292,59,87,146
江東,大江戸,総合学科１～３部,２学年相当以上,15,5,1,6,1,1,2
江東,大江戸,総合学科１～３部,計,155,165,133,298,60,88,148
世田谷,世田谷泉,総合学科１～３部,１学年相当,170,120,129,249,82,102,184
世田谷,世田谷泉,総合学科１～３部,２学年相当以上,15,2,1,3,1,1,2
世田谷,世田谷泉,総合学科１～３部,計,185,122,130,252,83,103,186
中野,稔ヶ丘,総合学科１～３部,１学年相当,200,191,134,325,103,104,207
中野,稔ヶ丘,総合学科１～３部,２学年相当以上,15,3,2,5,1,1,2
中野,稔ヶ丘,総合学科１～３部,計,215,194,136,330,104,105,209
北,桐ヶ丘,総合学科１～３部,１学年相当,140,89,90,179,70,75,145
北,桐ヶ丘,総合学科１～３部,２学年相当以上,15,1,2,3,0,1,1
北,桐ヶ丘,総合学科１～３部,計,155,90,92,182,70,76,146
八王子,八王子拓真,普通科１・２部,１学年相当,60,44,33,77,33,31,64
八王子,八王子拓真,普通科１・２部,計,60,44,33,77,33,31,64
チャレンジスクール及びチャレンジ枠計,,,１学年相当計,850,719,669,1388,405,486,891
チャレンジスクール及びチャレンジ枠計,,,２学年相当以上計,75,14,8,22,3,5,8
チャレンジスクール及びチャレンジ枠計,,,計,925,733,677,1410,408,491,899
