学科・区分,,,校数,延学校数,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,２日目までの応募人員(B)／男,２日目までの応募人員(B)／女,２日目までの応募人員(B)／計,２日目までの応募倍率(B/A)／男,２日目までの応募倍率(B/A)／女,２日目までの応募倍率(B/A)／計
全日制,"普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,29,11422,10502,21924,17977,16651,34628,1.57,1.59,1.58
全日制,"普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,28,11468,10434,21902,17953,17090,35043,1.57,1.64,1.60
全日制,"普
通
科",普通科(島しょ)計,6,,29,175,175,350,65,48,113,0.37,0.27,0.32
全日制,"普
通
科",普通科(島しょ)計,6,,28,175,175,350,50,67,117,0.29,0.38,0.33
全日制,"普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外）計,112,,29,11597,10677,22274,18042,16699,34741,1.56,1.56,1.56
全日制,"普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外）計,112,,28,11643,10609,22252,18003,17157,35160,1.55,1.62,1.58
全日制,"普
通
科",ｺｰｽ制計,1,6,29,,,308,133,360,493,,,1.60
全日制,"普
通
科",ｺｰｽ制計,1,6,28,,,308,124,331,455,,,1.48
全日制,"普
通
科",単位制計,11,,29,,,2242,1476,1972,3448,,,1.54
全日制,"普
通
科",単位制計,11,,28,,,2210,1499,1914,3413,,,1.54
全日制,"普
通
科",海外帰国生徒対象計,0,7,29,,,68,41,42,83,,,1.22
全日制,"普
通
科",海外帰国生徒対象計,0,7,28,,,68,52,31,83,,,1.22
全日制,"普
通
科",普通科合計,124,,29,,,24892,19692,19073,38765,,,1.56
全日制,"普
通
科",普通科合計,124,,28,,,24838,19678,19433,39111,,,1.57
全日制,"専
門
学
科",商業科,9,10,29,,,1481,630,998,1628,,,1.10
全日制,"専
門
学
科",商業科,9,10,28,,,1484,655,931,1586,,,1.07
全日制,"専
門
学
科",ビジネスコミュニケーション科,2,,29,,,294,155,232,387,,,1.32
全日制,"専
門
学
科",ビジネスコミュニケーション科,2,,28,,,294,163,247,410,,,1.39
全日制,"専
門
学
科",工業科(単位制以外),15,,29,,,1816,1938,266,2204,,,1.21
全日制,"専
門
学
科",工業科(単位制以外),15,,28,,,1814,1795,279,2074,,,1.14
全日制,"専
門
学
科",工業科（単位制）,1,,29,,,149,151,27,178,,,1.19
全日制,"専
門
学
科",工業科（単位制）,1,,28,,,149,127,21,148,,,0.99
全日制,"専
門
学
科",科学技術科,2,,29,,,294,452,66,518,,,1.76
全日制,"専
門
学
科",科学技術科,2,,28,,,294,448,76,524,,,1.78
全日制,"専
門
学
科",農業科,5,,29,,,446,259,345,604,,,1.35
全日制,"専
門
学
科",農業科,5,,28,,,446,256,329,585,,,1.31
全日制,"専
門
学
科",家庭科(単位制以外),0,2,29,,,99,17,140,157,,,1.59
全日制,"専
門
学
科",家庭科(単位制以外),0,2,28,,,99,19,80,99,,,1.00
全日制,"専
門
学
科",家庭科（単位制）,0,1,29,,,49,2,76,78,,,1.59
全日制,"専
門
学
科",家庭科（単位制）,0,1,28,,,49,0,44,44,,,0.90
全日制,"専
門
学
科",福祉科,0,1,29,,,25,14,18,32,,,1.28
全日制,"専
門
学
科",福祉科,0,1,28,,,25,11,12,23,,,0.92
全日制,"専
門
学
科",芸術科,1,,29,,,112,44,215,259,,,2.31
全日制,"専
門
学
科",芸術科,1,,28,,,112,40,203,243,,,2.17
全日制,"専
門
学
科",体育科,0,2,29,,,76,76,37,113,,,1.49
全日制,"専
門
学
科",体育科,0,2,28,,,76,77,23,100,,,1.32
全日制,"専
門
学
科",国際科,2,,29,,,194,155,282,437,,,2.25
全日制,"専
門
学
科",国際科,2,,28,,,194,148,297,445,,,2.29
全日制,"専
門
学
科",併合科,0,3,29,,,105,13,6,19,,,0.18
全日制,"専
門
学
科",併合科,0,3,28,,,105,10,12,22,,,0.21
全日制,"専
門
学
科",産業科,2,,29,,,295,228,236,464,,,1.57
全日制,"専
門
学
科",産業科,2,,28,,,295,225,208,433,,,1.47
全日制,"専
門
学
科",専門学科合計,39,,29,,,5435,4134,2944,7078,,,1.30
全日制,"専
門
学
科",専門学科合計,39,,28,,,5436,3974,2762,6736,,,1.24
全日制,総合学科,,10,,29,,,1668,880,1431,2311,,,1.39
全日制,総合学科,,10,,28,,,1668,922,1340,2262,,,1.36
全日制,全日制合計,,173,,29,,,31995,24706,23448,48154,,,1.51
全日制,全日制合計,,173,,28,,,31942,24574,23535,48109,,,1.51
一橋・新宿山吹・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,6,,29,,,775,580,616,1196,,,1.54
一橋・新宿山吹・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,6,,28,,,775,604,513,1117,,,1.44
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,29,,,925,763,703,1466,,,1.58
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,28,,,925,679,683,1362,,,1.47
注）募集人員は転勤者生徒特別枠、転入学者特別枠、推薦入学手続者、連携型入学手続者、在京外国人生徒対象、国際バカロレアコース及び分割後期募集の人員を除いた数である。,,,,,,,,,,,,,,
注）普通科の海外帰国生徒対象には、引揚生徒対象の数も含む。,,,,,,,,,,,,,,
注）海外帰国生徒対象及び国際科（国際高校）の募集人員は９月募集を除いた数である。,,,,,,,,,,,,,,
注）校数については複数の学科を併設している学校は、その学校の主たる学科欄において算入した。「延学校数」欄は併設校を含めた延学校数である。,,,,,,,,,,,,,,
注）定時制課程単位制総合学科（チャレンジスクール）は、六本木高校、大江戸高校、世田谷泉高校、稔ヶ丘高校及び桐ヶ丘高校をいう。また、定時制課程単位制普通科（チャレンジ枠）は、八王子拓真高校（チャレンジ枠）をいう。,,,,,,,,,,,,,,
注）次の学科・区分の募集人員は男女を問わない。普通科のコース制計、単位制計、専門学科、総合学科、一橋・新宿山吹・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）、定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,,,,,,,,,,,,
