区市町村名,学校名,募集人員（男女問わず）(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,応募倍率(B/A)
墨田,日本橋※,28,21,17,38,1.36
墨田,両国,1,13,2,15,15.00
品川,八潮※,21,22,13,35,1.67
大田,蒲田※,60,73,33,106,1.77
大田,田園調布※,25,13,18,31,1.24
世田谷,深沢※,26,20,26,46,1.77
荒川,竹台※,36,20,13,33,0.92
板橋,大山※,24,28,31,59,2.46
練馬,田柄※,23,35,18,53,2.30
足立,青井※,47,40,36,76,1.62
足立,足立新田※,30,16,12,28,0.93
足立,足立西,2,1,0,1,0.50
足立,足立東※,56,45,34,79,1.41
足立,淵江※,30,30,22,52,1.73
葛飾,南葛飾※,47,62,55,117,2.49
江戸川,篠崎※,20,40,20,60,3.00
区部計,,476,479,350,829,1.74
府中,府中東※,31,41,38,79,2.55
町田,山崎※,23,20,15,35,1.52
東村山,東村山※,60,48,45,93,1.55
羽村,羽村※,32,48,35,83,2.59
あきる野,秋留台※,72,104,51,155,2.15
多摩部計,,218,261,184,445,2.04
大島,大島,48,2,1,3,0.06
新島,新島,24,0,1,1,0.04
神津島,神津,25,1,0,1,0.04
三宅,三宅,36,0,0,0,0.00
八丈,八丈,91,5,0,5,0.05
小笠原,小笠原,14,0,0,0,0.00
島しょ計,,238,8,2,10,0.04
コース、単位制以外計,,932,748,536,1284,1.38
注）※は分割後期募集実施校,,,,,,
