区市町村名,学校名,科名（分野）,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
墨田,橘,産業,147,97,120,217,1.48
八王子,八王子桑志,ﾃﾞｻﾞｲﾝ分野,49,16,69,85,1.73
八王子,八王子桑志,ｸﾗﾌﾄ分野,25,35,10,45,1.80
八王子,八王子桑志,ｼｽﾃﾑ情報分野,25,50,8,58,2.32
八王子,八王子桑志,ﾋﾞｼﾞﾈｽ情報分野,49,30,29,59,1.20
八王子,八王子桑志,計,148,131,116,247,1.67
産業科計,,,295,228,236,464,1.57
